NIR photometry of the local sequences in the standard system.
ID, alpha (2000), delta (2000), Y, Yerr, J, Jerr, H, Herr
------------------------------------------------------------------
2004ew
101  00:38:07.05  +02:42:50.2  15.775 0.052  15.377 0.054  14.680 0.051   
102  00:38:03.82  +02:41:17.5  15.462 0.050  15.077 0.060  14.429 0.051   
103  00:38:05.86  +02:43:51.7  16.054 0.019  15.590 0.025  15.048 0.046   
104  00:38:03.19  +02:42:11.9  16.931 0.090  16.574 0.121  15.861 0.111   
105  00:38:11.02  +02:41:21.2  13.799 0.037  13.514 0.050  13.230 0.052   
2004ff 
101  04:58:40.81  -21:33:54.1  14.079 0.045  13.789 0.047  13.425 0.014   
102  04:58:36.53  -21:33:49.2  16.215 0.054  15.966 0.045  15.693 0.011   
103  04:58:40.07  -21:32:51.7  16.746 0.042  16.568 0.031  16.098 0.046   
104  04:58:41.95  -21:33:03.5  17.006 0.060  16.610 0.049  16.042 0.017   
105  04:58:43.96  -21:32:59.0  17.498 0.023  16.996 0.027  16.425 0.020   
106  04:58:44.86  -21:34:14.6  17.343 0.034  16.828 0.111  16.400 0.013   
107  04:58:42.40  -21:34:17.1  17.239 0.076  16.764 0.008  16.312 0.121   
108  04:58:43.89  -21:34:28.3   INDEF INDEF  17.357 0.123  17.048 0.191   
2004gq 
101  05:12:14.16  -15:40:39.8  14.437 0.042  14.114 0.049  13.630 0.036   
102  05:12:12.59  -15:40:09.1  14.600 0.047  14.165 0.046  13.522 0.040   
103  05:12:13.57  -15:40:05.5  15.131 0.054  14.862 0.046  14.562 0.056   
104  05:12:09.33  -15:39:37.5  17.037 0.158  16.890 0.063  16.472 0.046   
105  05:12:09.95  -15:40:58.1  16.268 0.039  15.802 0.047  15.172 0.029   
106  05:12:06.28  -15:41:41.7  16.433 0.071  16.131 0.058  15.520 0.093   
107  05:12:05.02  -15:41:43.2  14.607 0.040  14.380 0.047  14.138 0.044   
108  05:12:04.16  -15:39:23.8   INDEF INDEF   INDEF INDEF  16.182 0.089   
109  05:12:06.33  -15:39:50.7  17.358 0.081  17.237 0.195  16.350 0.097   
110  05:12:09.11  -15:41:56.3  17.570 0.098  17.320 0.150  16.625 0.011   
111  05:12:14.57  -15:42:10.8  17.639 0.112  17.043 0.080  16.363 0.108   
113  05:12:14.95  -15:41:55.2  17.743 0.128  17.201 0.103  16.659 0.128   
2004gt 
101  12:01:47.91  -18:51:15.9  13.379 0.040  13.147 0.045  12.845 0.037   
102  12:01:51.65  -18:50:33.8  15.732 0.064  15.339 0.038  14.833 0.056   
103  12:01:43.75  -18:49:56.9  16.617 0.053  16.363 0.046  15.992 0.065   
105  12:01:45.82  -18:51:34.6   INDEF INDEF   INDEF INDEF  17.171 0.149   
2004gv 
