2453356.86	17.510	0.066	15.959	0.023	15.287	0.018	15.144	0.020	16.356	0.024	15.579	0.019
2453357.83	---	---	---	---	15.213	0.016	15.095	0.016	---	---	15.476	0.018
2453361.80	17.855	0.060	15.905	0.016	15.079	0.015	14.913	0.032	16.334	0.029	15.407	0.017
2453362.83	17.921	0.063	15.888	0.017	15.095	0.016	14.905	0.022	16.358	0.025	15.420	0.018
2453363.83	17.991	0.063	15.918	0.017	15.106	0.016	---	---	16.356	0.031	15.403	0.018
2453365.80	18.170	0.069	15.955	0.014	---	---	14.910	0.026	16.450	0.022	15.449	0.017
2453369.82	18.790	0.080	16.168	0.014	15.175	0.015	14.944	0.024	16.682	0.021	15.572	0.018
2453372.79	18.949	0.091	16.397	0.013	15.295	0.012	14.994	0.012	16.929	0.020	15.751	0.015
2453373.82	19.230	0.087	16.497	0.021	15.318	0.013	15.022	0.013	---	---	15.794	0.015
2453377.81	19.695	0.099	16.721	0.032	15.512	0.014	15.172	0.016	17.317	0.025	16.054	0.018
2453380.81	---	---	16.924	0.026	15.643	0.013	15.286	0.014	---	---	16.206	0.017
2453381.80	---	---	17.011	0.063	15.693	0.020	15.284	0.030	17.593	0.037	16.280	0.020
2453383.81	---	---	17.092	0.054	---	---	---	---	---	---	---	---
2453384.78	---	---	17.171	0.026	15.864	0.014	15.444	0.028	---	---	16.410	0.023
2453386.87	---	---	---	---	15.915	0.020	15.539	0.041	17.822	0.032	16.654	0.032
2453388.78	---	---	17.243	0.031	16.017	0.014	15.625	0.014	17.947	0.033	16.640	0.018
2453390.77	---	---	17.357	0.026	16.103	0.017	15.699	0.026	17.915	0.049	16.685	0.024
2453400.83	---	---	17.613	0.032	16.400	0.014	16.070	0.017	18.018	0.028	16.912	0.017
2453402.75	---	---	17.555	0.036	16.434	0.017	16.047	0.034	18.108	0.034	16.922	0.021
2453407.85	---	---	17.612	0.049	16.512	0.018	16.247	0.028	18.104	0.034	17.014	0.020
2453408.87	---	---	---	---	16.564	0.018	16.212	0.031	---	---	---	---
2453409.83	---	---	---	---	16.643	0.051	---	---	18.168	0.048	17.074	0.037
