2453642.71	17.786	0.046	17.656	0.070	---	---
2453642.72	17.784	0.060	17.723	0.089	---	---
2453643.74	17.663	0.096	17.520	0.182	17.401	0.137
2453657.65	17.399	0.031	17.593	0.047	17.320	0.054
2453657.66	17.440	0.033	17.446	0.039	17.125	0.047
2453660.77	17.477	0.036	17.567	0.062	17.190	0.083
2453660.78	17.413	0.032	17.474	0.059	17.267	0.102
2453664.77	17.644	0.028	17.664	0.055	17.360	0.084
2453664.77	17.554	0.032	17.773	0.061	---	---
2453670.72	17.843	0.037	18.171	0.103	17.651	0.109
2453670.72	17.928	0.045	18.123	0.082	17.429	0.101
2453677.71	18.070	0.042	18.332	0.113	17.815	0.129
2453677.71	18.165	0.055	---	---	18.010	0.152
