2453644.73	18.696	0.023	18.080	0.010	17.878	0.018	17.965	0.016	18.230	0.017	17.951	0.020
2453650.86	19.263	0.028	18.158	0.008	17.753	0.021	17.823	0.022	18.455	0.019	17.868	0.027
2453655.80	20.121	0.040	18.553	0.011	17.891	0.018	17.911	0.016	18.925	0.020	18.156	0.021
2453658.74	20.296	0.094	18.897	0.021	18.032	0.019	17.941	0.016	19.220	0.031	18.371	0.024
2453659.72	20.573	0.189	18.940	0.030	18.046	0.022	17.976	0.018	19.398	0.063	18.426	0.030
2453663.77	---	---	19.428	0.041	18.375	0.029	18.215	0.038	19.928	0.085	18.729	0.039
2453665.79	21.261	0.150	19.561	0.026	18.523	0.025	18.330	0.024	20.218	0.067	18.974	0.039
2453669.76	---	---	19.868	0.024	18.802	0.021	18.574	0.019	20.278	0.036	19.223	0.028
2453671.86	---	---	19.994	0.025	18.945	0.023	18.692	0.025	---	---	---	---
2453684.76	---	---	20.621	0.029	19.561	0.025	19.316	0.027	21.074	0.071	19.993	0.035
2453695.80	---	---	---	---	---	---	---	---	---	---	20.595	0.070
2453707.79	---	---	21.992	0.136	21.135	0.084	20.833	0.137	---	---	21.599	0.160
2453722.69	---	---	---	---	---	---	21.589	0.153	---	---	---	---
2453726.73	---	---	---	---	---	---	21.587	0.171	---	---	---	---
2453736.64	---	---	---	---	---	---	22.118	0.192	---	---	---	---
