2453979.78	18.784	0.040	18.048	0.008	17.786	0.008	17.731	0.009	18.313	0.013	17.858	0.009
2453981.74	18.603	0.042	17.833	0.010	17.539	0.008	17.484	0.009	18.085	0.015	17.617	0.010
2453986.74	18.765	0.107	17.669	0.018	17.242	0.010	17.134	0.010	17.961	0.029	17.424	0.014
2453991.73	19.342	0.020	17.847	0.016	---	---	17.041	0.011	18.276	0.026	17.466	0.014
2453994.78	19.854	0.123	18.151	0.008	17.296	0.005	17.082	0.006	18.646	0.015	17.650	0.009
2453998.72	---	---	18.563	0.012	17.528	0.006	17.238	0.007	19.188	0.024	17.958	0.009
2454001.70	21.146	0.126	18.851	0.013	17.718	0.007	17.362	0.008	19.514	0.021	18.214	0.010
2454003.73	21.300	0.120	19.017	0.013	17.868	0.009	17.499	0.009	19.675	0.022	18.371	0.011
2454008.72	---	---	19.435	0.017	18.232	0.009	17.826	0.010	20.154	0.035	18.776	0.015
2454014.67	---	---	19.852	0.101	18.596	0.033	18.151	0.024	---	---	19.070	0.072
2454029.66	---	---	20.188	0.028	19.017	0.016	18.548	0.017	20.843	0.045	19.587	0.025
2454038.62	---	---	20.195	0.042	19.188	0.020	18.718	0.017	20.831	0.095	19.674	0.031
2454048.65	---	---	20.454	0.075	19.366	0.034	18.918	0.033	21.062	0.126	19.865	0.056
2454056.57	---	---	---	---	19.464	0.027	19.077	0.027	21.205	0.092	20.027	0.047
2454068.58	---	---	20.575	0.084	19.599	0.034	19.160	0.030	---	---	20.023	0.068
2454076.59	---	---	---	---	---	---	19.361	0.055	---	---	---	---
