2454003.86	18.933	0.037	17.765	0.013	17.391	0.011	17.333	0.013	18.029	0.019	17.599	0.017
2454008.84	19.500	0.037	17.920	0.012	17.329	0.010	17.233	0.011	18.226	0.019	17.641	0.016
2454014.75	---	---	---	---	---	---	---	---	18.714	0.042	17.850	0.016
2454025.81	---	---	19.086	0.020	17.938	0.013	17.607	0.013	19.623	0.037	18.546	0.026
2454029.73	---	---	19.313	0.023	18.097	0.012	17.739	0.012	19.755	0.041	18.767	0.028
2454038.74	---	---	19.638	0.028	18.357	0.016	18.010	0.015	20.080	0.043	18.977	0.031
2454042.65	---	---	---	---	18.456	0.019	18.106	0.018	20.163	0.096	---	---
2454049.69	---	---	---	---	18.590	0.021	18.268	0.023	20.229	0.061	---	---
2454068.67	---	---	---	---	18.816	0.019	18.645	0.023	---	---	19.349	0.039
2454076.65	---	---	---	---	18.966	0.026	18.809	0.031	---	---	19.423	0.059
2454085.67	---	---	19.967	0.030	19.085	0.022	18.859	0.031	20.346	0.052	---	---
2454092.64	---	---	20.066	0.032	19.176	0.027	19.055	0.028	20.397	0.061	---	---
