#SN   Type   log(L\mathrmp)  M	\mathrmNi (M	\odot)  t	\mathrmp (days)   t	-1/2 (days)   t	+1/2 (days)   Width (days)  
SN1998bw   GRBSN   42.953 0.042	0.026   0.386 0.043	0.026   15.861 0.177   9.445  0.607   14.639  0.894   24.084  1.081
SN1999dn   Ib   42.360 0.191	0.163   0.088 0.073	0.038   13.916 2.841   99     99   19.790  4.210   99 99
SN2002ap   IcBL   42.373 0.018	0.008   0.086 0.004	0.002   13.011 0.000   6.076  0.130   13.629  0.362   19.705  0.384
SN2003dh   GRBSN   42.94 0.08	0.09   0.308 0.102	0.083   12.65 1.66   99	      99   15.845  0.590   99 99
SN2005bf   Ib   42.385 0.033	0.032   0.119 0.012	0.010   18.325 0.351   99     99   99	   99	   99 99
SN2005hg   Ib   42.377 0.029	0.027   99    99	99   99	99   12.215  0.051   19.900  0.727   32.115  0.728
SN2005mf   Ic   42.255 0.095	0.051   99    99	99   99	99   99	     99      18.696  0.899   99	     99
SN2006aj   GRBSN   42.839 0.025	0.017   0.197 0.012	0.008   9.587 0.040   6.227  0.526   11.059  4.141   17.285  4.175
SN2007Y   Ib   41.963 0.065	0.099   0.046 0.008	0.010   18.757 0.350   7.406  0.916   11.507  0.916   18.912  1.295
SN2007gr   Ic   42.258 0.061	0.059   0.066 0.011	0.009   13.146 0.229   7.951  0.051   14.300  0.067   22.251  0.084
SN2007uy   Ib   42.846 0.360	0.318   0.358 0.474	0.188   19.075 0.284   99     99   12.944  1.512   99 99
SN2008D   Ib   42.292 0.355	0.305   0.101 0.130	0.051   19.293 0.229   13.697  0.106   16.897  0.606   30.594  0.615
SN2008ax   IIb   42.284 0.037	0.036   0.099 0.009	0.008   19.283 0.127   9.259  0.243   13.262  0.526   22.522  0.579
SN2009iz   Ib   42.200 0.028	0.024   0.091 0.014	0.012   21.750 1.936   12.959  0.278   25.824  0.893   38.782  0.936
SN2009jf   Ib   42.640 0.034	0.036   0.246 0.022	0.021   21.267 0.164   10.633  0.652   18.821  0.285   29.453  0.711
SN2011bm   Ic   42.880 0.058	0.049   0.638 0.094	0.070   34.586 0.151   99      99   43.461  1.449   99  99
SN2011dh   IIb   42.205 0.019	0.016   0.068 0.003	0.003   15.712 0.017   9.837  0.075   13.346  0.045   23.182  0.087
SN2011hs   IIb   42.027 0.017	0.018   0.028 0.001	0.001   8.588 0.057   8.303  0.000   12.072  0.227   20.375  0.227
