## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN1998bw 	 0.0087 	 0.052 	 35.645 	 50928.89 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
8.52 	 3.59147648612e+42 	 42.5552730274 	 0.0946949515466
10.44 	 4.20834195155e+42 	 42.6241110215 	 0.12793067339
10.89 	 4.2303725694e+42 	 42.6263786174 	 0.132778104546
12.44 	 4.67925773469e+42 	 42.6701769669 	 0.163286652354
12.88 	 4.70521589333e+42 	 42.6725795553 	 0.169007169993
13.44 	 4.82960300294e+42 	 42.6839114329 	 0.179837734592
13.9 	 4.8344594372e+42 	 42.6843479207 	 0.185305887331
15.37 	 5.09432810241e+42 	 42.7070869125 	 0.213362280244
17.51 	 5.12866771348e+42 	 42.710004562 	 0.241826222768
19.51 	 4.76028503573e+42 	 42.6776329581 	 0.248001410173
21.33 	 4.46725668417e+42 	 42.6500409073 	 0.252608086522
21.5 	 4.41270896099e+42 	 42.6447052846 	 0.251336835836
22.46 	 4.19371324634e+42 	 42.6225987314 	 0.248514619559
23.42 	 3.95916857631e+42 	 42.5976039938 	 0.243580861544
24.35 	 3.81750255482e+42 	 42.5817793364 	 0.243084771061
24.71 	 3.74963222143e+42 	 42.5739886725 	 0.241844666993
25.46 	 3.56381884282e+42 	 42.5519156197 	 0.235883081151
25.49 	 3.5597889412e+42 	 42.5514242495 	 0.235854720947
25.81 	 3.6563997102e+42 	 42.5630536658 	 0.244855867778
26.47 	 3.31963269641e+42 	 42.5210900335 	 0.22711147843
26.49 	 3.33100895839e+42 	 42.5225758007 	 0.228034654102
27.41 	 3.21052411087e+42 	 42.5065759358 	 0.226127315897
29.78 	 2.84222875336e+42 	 42.4536590287 	 0.213973586322
30.74 	 2.6809198305e+42 	 42.4282838272 	 0.206833192808
32.27 	 2.40652251389e+42 	 42.381389929 	 0.192543387144
32.69 	 2.41081953094e+42 	 42.3821647012 	 0.194720563865
34.73 	 2.15396235535e+42 	 42.3332381089 	 0.181623646898
36.41 	 1.95752519233e+42 	 42.2917073599 	 0.17045808497
37.48 	 1.84370693453e+42 	 42.2656918892 	 0.163652180631
38.43 	 1.78034156879e+42 	 42.2505033322 	 0.160612391575
39.42 	 1.69954736074e+42 	 42.2303332714 	 0.155825790532
39.67 	 1.73104569463e+42 	 42.2383085322 	 0.15934658806
40.37 	 1.61274073864e+42 	 42.2075645566 	 0.150086714632
40.83 	 1.61763136216e+42 	 42.2088795583 	 0.151600640728
41.48 	 1.55164607735e+42 	 42.1907926678 	 0.146832210243
42.5 	 1.49095485495e+42 	 42.1734644935 	 0.143181802341
45.67 	 1.37355758228e+42 	 42.1378468706 	 0.137641966928
51.65 	 1.15851195138e+42 	 42.0639005184 	 0.124588404881
54.19 	 1.08042126073e+42 	 42.0335931217 	 0.119418664395
55.24 	 1.02948686922e+42 	 42.0126208117 	 0.115048112946
56.3 	 1.01322854556e+42 	 42.0057074166 	 0.11447749959
56.65 	 1.03315009149e+42 	 42.0141634185 	 0.117147073267
59.44 	 9.43605508605e+41 	 41.9747904676 	 0.110035845666
69.35 	 7.81429713026e+41 	 41.8928899208 	 0.100176842199
70.34 	 7.59448035917e+41 	 41.8804980633 	 0.0982589420824
71.37 	 7.41366727506e+41 	 41.870033091 	 0.0968392224153
72.31 	 7.46366298428e+41 	 41.872952021 	 0.0983424736792
74.3 	 7.04018095962e+41 	 41.8475838223 	 0.0944768366941
75.41 	 6.90450595776e+41 	 41.8391326087 	 0.093603947503
76.31 	 6.78029037009e+41 	 41.8312482932 	 0.0926800953353
77.33 	 6.64961851306e+41 	 41.8227967307 	 0.0917447902024
78.21 	 6.53677963562e+41 	 41.8153638445 	 0.0909147191956
79.33 	 6.41746996125e+41 	 41.8073638445 	 0.0901703953315
