## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN1999ex 	 0.0114 	 0.3 	 47.2 	 51480.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
1.05 	 4.87095672549e+40 	 40.6876142712 	 0.000680213469393
2.11 	 6.57524572597e+40 	 40.8179119876 	 0.00101193852164
2.12 	 7.23562857732e+40 	 40.8594762654 	 0.00111458286661
2.13 	 6.54293613808e+40 	 40.8157726814 	 0.00100879437963
3.15 	 9.48612812714e+40 	 40.9770889863 	 0.00160272117325
3.16 	 9.26905021974e+40 	 40.9670352352 	 0.00156743470902
4.05 	 1.49315785964e+41 	 41.1741057246 	 0.00273020110047
4.08 	 1.62573363236e+41 	 41.2110493903 	 0.00298036779974
4.09 	 1.68342452375e+41 	 41.2261936496 	 0.00308880952002
5.1 	 2.64741412837e+41 	 41.4228218822 	 0.00529690085006
6.04 	 3.72204961961e+41 	 41.5707821585 	 0.0080557565942
6.12 	 3.95898207153e+41 	 41.597583535 	 0.00862525340232
6.13 	 4.00014852869e+41 	 41.6020761173 	 0.00872211917
7.0 	 5.42641570862e+41 	 41.7345130613 	 0.0126993441994
7.03 	 4.98176965733e+41 	 41.6973836431 	 0.0116868501842
8.03 	 5.97463875032e+41 	 41.7763116513 	 0.0151684094282
8.08 	 6.1200786239e+41 	 41.7867570015 	 0.0155981576701
8.13 	 6.4009212942e+41 	 41.8062424871 	 0.0163773647857
8.14 	 6.51363205661e+41 	 41.8138232224 	 0.0166786725265
9.03 	 7.30120177442e+41 	 41.8633943507 	 0.0200108959276
10.03 	 8.4762296888e+41 	 41.9282027167 	 0.0250158252941
10.13 	 8.8952848898e+41 	 41.9491598618 	 0.0264438159787
10.14 	 8.93325717643e+41 	 41.9510098369 	 0.0265759435132
12.02 	 1.07013319379e+42 	 42.0294378354 	 0.0363092626447
12.12 	 1.09796658673e+42 	 42.0405891239 	 0.0375051481164
12.13 	 1.10667505032e+42 	 42.044020119 	 0.0378280061629
13.04 	 1.15366302689e+42 	 42.0620789744 	 0.0418708834645
15.07 	 1.28703872236e+42 	 42.1095916135 	 0.0529633971738
15.09 	 1.32930410834e+42 	 42.123624347 	 0.0547673410592
15.1 	 1.33464678486e+42 	 42.1253663446 	 0.0550199283812
16.06 	 1.3457825274e+42 	 42.1289748855 	 0.0586392227196
17.04 	 1.42917292259e+42 	 42.1550847794 	 0.0657262905047
17.05 	 1.41475048171e+42 	 42.1506798505 	 0.0650979928244
18.04 	 1.45312941485e+42 	 42.162304294 	 0.0704248572825
18.05 	 1.44015452293e+42 	 42.1584090927 	 0.069831703227
18.06 	 1.42234925296e+42 	 42.153006249 	 0.0690035663763
18.07 	 1.4227872584e+42 	 42.1531399673 	 0.0690600498549
19.06 	 1.46994519536e+42 	 42.1673011431 	 0.0749493394726
19.07 	 1.4619713302e+42 	 42.164938856 	 0.0745788786277
19.16 	 1.42879107398e+42 	 42.1549687284 	 0.0732038015612
20.04 	 1.46689175939e+42 	 42.1663980688 	 0.078334019322
20.05 	 1.47998579414e+42 	 42.1702575468 	 0.0790695767086
21.02 	 1.47960836604e+42 	 42.1701467782 	 0.0825546381509
21.03 	 1.47615382422e+42 	 42.169131616 	 0.0823977513972
21.07 	 1.40836235233e+42 	 42.1487144072 	 0.0787504922425
23.02 	 1.42361702503e+42 	 42.1533931731 	 0.086249281292
23.03 	 1.42566554944e+42 	 42.1540176552 	 0.0864069686349
24.03 	 1.37964599968e+42 	 42.139767666 	 0.0868353282468
24.04 	 1.39301625435e+42 	 42.143956184 	 0.0877090073655
25.02 	 1.32943195931e+42 	 42.1236661149 	 0.0866796038927
25.03 	 1.34356342354e+42 	 42.1282581723 	 0.0876313029202
26.05 	 1.23517078544e+42 	 42.0917270111 	 0.083368996036
27.08 	 1.19482904115e+42 	 42.0773057699 	 0.0833160598924
27.09 	 1.18380081899e+42 	 42.0732786361 	 0.0825723747738
28.04 	 1.12083715705e+42 	 42.0495425199 	 0.0804270139182
28.05 	 1.13035731189e+42 	 42.053215748 	 0.0811336619073
28.08 	 1.10243304863e+42 	 42.042352224 	 0.0791981120822
31.06 	 8.91908118302e+41 	 41.950320117 	 0.0693544880657
31.07 	 8.92550760431e+41 	 41.9506329243 	 0.0694213731556
33.09 	 7.57228287989e+41 	 41.8792268297 	 0.0617021451905
33.1 	 7.82525526974e+41 	 41.8934985137 	 0.0637773613811
35.09 	 6.77234004421e+41 	 41.8307387562 	 0.0575133067582
35.1 	 6.80683315212e+41 	 41.8329451054 	 0.0578175729535
37.03 	 5.98409118782e+41 	 41.7769982028 	 0.0526963792785
37.04 	 5.89004538459e+41 	 41.7701186412 	 0.0518774500326
39.03 	 5.36144648211e+41 	 41.7292819752 	 0.0488489018666
39.04 	 5.38853597357e+41 	 41.7314707865 	 0.0491037068201
41.08 	 4.9951156765e+41 	 41.69854555 	 0.0469891833129
41.09 	 4.95779920047e+41 	 41.6952889331 	 0.046645116279
#t_peak = 20.05
#L_peak = 1.47998579414e+42
#M_ni = 0.0790695767086
