## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2003jd 	 0.019 	 0.15 	 76.9 	 52927.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
14.174 	 4.56817261409e+42 	 42.6597425059 	 0.178095431622
16.113 	 4.69989401518e+42 	 42.6720880645 	 0.205398825342
17.213 	 4.59083969961e+42 	 42.6618921286 	 0.213092407676
39.193 	 1.26929803231e+42 	 42.1035636068 	 0.1159536431
40.221 	 1.19978867999e+42 	 42.0791047601 	 0.111399764045
60.084 	 5.94165542784e+41 	 41.7739074623 	 0.0697288166421
60.102 	 5.82324755303e+41 	 41.7651652529 	 0.0683513385539
62.059 	 5.7808793505e+41 	 41.7619939056 	 0.0691625045414
63.071 	 5.83928684839e+41 	 41.76635981 	 0.0705467572022
64.078 	 5.43851454141e+41 	 41.7354802941 	 0.0663419301698
65.126 	 5.23217242032e+41 	 41.7186820472 	 0.064464923644
68.063 	 5.24803791994e+41 	 41.7199969644 	 0.0664747683255
11.22 	 3.68196030101e+42 	 42.5660791016 	 0.118266142437
12.23 	 4.09162333866e+42 	 42.6118956472 	 0.140798564938
13.15 	 4.09246176697e+42 	 42.6119846308 	 0.149588826525
14.2 	 4.49842282432e+42 	 42.6530602741 	 0.175656876714
15.41 	 4.39163303065e+42 	 42.6426260429 	 0.184360656812
16.88 	 4.41077303911e+42 	 42.6445147113 	 0.201103082667
18.19 	 4.43611717126e+42 	 42.6470030087 	 0.21664097544
27.24 	 2.69808939828e+42 	 42.4310563355 	 0.189060546441
27.84 	 2.70058299279e+42 	 42.4314575283 	 0.192656352676
28.24 	 2.32744740465e+42 	 42.3668798756 	 0.167974552175
28.74 	 2.64038619817e+42 	 42.4216674539 	 0.193270377297
29.24 	 2.40346080356e+42 	 42.3808370439 	 0.178358356423
29.67 	 2.26125962465e+42 	 42.3543504284 	 0.169744300563
30.67 	 2.17086240268e+42 	 42.3366322971 	 0.167190933519
30.94 	 2.12956282382e+42 	 42.3282904566 	 0.165108860409
30.94 	 2.12956282382e+42 	 42.3282904566 	 0.165108860409
31.68 	 1.96611477942e+42 	 42.2936088678 	 0.155171949911
32.24 	 1.96045371918e+42 	 42.2923565943 	 0.156746616204
32.68 	 1.74438256674e+42 	 42.2416417377 	 0.14086144124
33.68 	 1.75894474535e+42 	 42.245252197 	 0.14515133132
34.24 	 1.67109028694e+42 	 42.2229999149 	 0.13951717256
34.67 	 1.66958194167e+42 	 42.2226077387 	 0.140611405442
34.85 	 1.63280109867e+42 	 42.2129332839 	 0.1380084535
35.24 	 1.6667376457e+42 	 42.2218672447 	 0.141961255884
36.24 	 1.54610596805e+42 	 42.1892392566 	 0.134210905025
37.24 	 1.43492173887e+42 	 42.1568282151 	 0.126831941589
39.24 	 1.27931727288e+42 	 42.1069782636 	 0.116957629679
40.24 	 1.26488354713e+42 	 42.1020505436 	 0.117478307075
40.67 	 1.11936180316e+42 	 42.0489704831 	 0.104650100945
41.24 	 1.14156011118e+42 	 42.0574987851 	 0.107643170933
41.72 	 1.09019775549e+42 	 42.0375052836 	 0.103528695256
42.67 	 1.04647238404e+42 	 42.019727772 	 0.100738070845
43.24 	 1.03021617935e+42 	 42.0129283661 	 0.0999640612952
44.43 	 1.03444289653e+42 	 42.0147065217 	 0.102002228626
45.24 	 9.07970796945e+41 	 41.9580718805 	 0.0904854037103
45.68 	 9.02173631989e+41 	 41.9552901297 	 0.0904168792551
49.24 	 8.36261955543e+41 	 41.9223423397 	 0.0875147591767
51.24 	 7.71156538767e+41 	 41.8871425454 	 0.0825556719998
52.24 	 7.41740130609e+41 	 41.8702517764 	 0.0802861995727
53.77 	 7.18945155239e+41 	 41.8566957615 	 0.0791118677904
54.77 	 6.78709939445e+41 	 41.8316842093 	 0.0754766431932
55.69 	 6.58696292413e+41 	 41.8186852189 	 0.0739554890205
55.69 	 6.58696292413e+41 	 41.8186852189 	 0.0739554890205
56.72 	 6.64281509597e+41 	 41.8223521639 	 0.0753755393903
56.72 	 6.64281509597e+41 	 41.8223521639 	 0.0753755393903
57.67 	 6.38861942297e+41 	 41.8054070175 	 0.0731930857884
58.69 	 5.95351907319e+41 	 41.7747737493 	 0.0689096729937
58.82 	 6.46714071073e+41 	 41.8107123103 	 0.0749517235765
61.69 	 5.82423122939e+41 	 41.7652386087 	 0.0694322723462
62.68 	 5.66189601798e+41 	 41.7529618892 	 0.0681466334099
63.67 	 5.61357576789e+41 	 41.7492395888 	 0.0682107492043
64.24 	 5.67118377006e+41 	 41.7536737205 	 0.0692872275196
64.24 	 5.67118377006e+41 	 41.7536737205 	 0.0692872275196
65.24 	 5.2108671956e+41 	 41.7169100049 	 0.0642719183648
66.24 	 5.03552310799e+41 	 41.7020445933 	 0.0626996214611
70.78 	 4.52190784138e+41 	 41.655321707 	 0.0587445670165
73.44 	 4.41432933419e+41 	 41.6448647309 	 0.0587725159695
#t_peak = 16.113
#L_peak = 4.69989401518e+42
#M_ni = 0.205398825342
