## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2004aw 	 0.016 	 0.037 	 72.77 	 53073.9 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
11.41799 	 8.74091470992e+41 	 41.9415568826 	 0.0284640989334
12.33527 	 9.03760130604e+41 	 41.9560531785 	 0.0313188367277
13.36578 	 9.5005177288e+41 	 41.9777472727 	 0.0352098902519
17.54372 	 1.04179370139e+42 	 42.0177817274 	 0.0492094776798
18.54398 	 1.01079810997e+42 	 42.0046644212 	 0.0502487853176
22.33059 	 9.77873544179e+41 	 41.9902826967 	 0.057646275608
35.40315 	 6.33436107997e+41 	 41.801702816 	 0.0541226512719
38.37358 	 5.77089634305e+41 	 41.7612432736 	 0.0520126512691
41.24865 	 5.32095216158e+41 	 41.7259893544 	 0.05018025236
44.45828 	 4.72677751238e+41 	 41.6745651607 	 0.0466263080247
61.29041 	 3.43131912473e+41 	 41.5354611108 	 0.0407470315845
61.29795 	 3.3855503218e+41 	 41.5296292734 	 0.0402064785949
62.35674 	 3.16353086339e+41 	 41.5001720758 	 0.0379576806587
62.35778 	 3.25457203714e+41 	 41.5124938887 	 0.0390504321926
62.37095 	 3.25014170205e+41 	 41.5119022961 	 0.0390022368002
66.31355 	 2.90549312905e+41 	 41.4632198528 	 0.0362027503543
72.38122 	 2.88277780106e+41 	 41.4598111691 	 0.0380089242653
#t_peak = 17.54372
#L_peak = 1.04179370139e+42
#M_ni = 0.0492094776798
