## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2005aw 	 0.009498 	 0.054 	 41.5 	 53445.67 
###############BBggVVrriiYHJJH#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
18.7300000000032 	 5.866691686277414e+39 	 39.76839326522899 	 0.00030782930494214827
19.720000000001164 	 -4.210260814810488e+40 	 nan 	 -0.0023196565321123787
20.7300000000032 	 -8.055844022400564e+40 	 nan 	 -0.004652871373415769
21.75 	 -1.1719611723851267e+41 	 nan 	 -0.007081027402678788
28.75 	 -3.1653994958524844e+41 	 nan 	 -0.024486514246985485
29.75 	 -3.3793358570704268e+41 	 nan 	 -0.026876276453734763
30.74000000000524 	 -3.599554368914332e+41 	 nan 	 -0.029378930671670623
31.760000000002037 	 -3.7467117963058415e+41 	 nan 	 -0.03136021344634938
32.75 	 -3.900664679273134e+41 	 nan 	 -0.03341195421814395
37.669999999998254 	 -4.561857096031938e+41 	 nan 	 -0.043113142307322654
#t_peak = 18.7300000000032
#L_peak = 5.866691686277414e+39
#M_ni = 0.00030782930494214827
