## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2005aw 	 0.009498 	 0.054 	 41.5 	 53445.67 
###############BBggVrriiYHJJH#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
18.7300000000032 	 1.9381316296865728e+42 	 42.28738326915708 	 0.10169508546841322
19.720000000001164 	 1.9159550979033347e+42 	 42.28238532678777 	 0.10556015300647192
20.7300000000032 	 1.8991671094586007e+42 	 42.27856318038878 	 0.109691551280799
21.75 	 1.8817003089431384e+42 	 42.27455045621329 	 0.11369294278016308
28.75 	 1.7372522923478663e+42 	 42.239862893414305 	 0.13438825987974648
29.75 	 1.719510712985077e+42 	 42.23540488593053 	 0.13675481586316438
30.74000000000524 	 1.7005099586689807e+42 	 42.230579179627945 	 0.1387926367043311
31.760000000002037 	 1.6851755209846256e+42 	 42.22664514189884 	 0.14105025127565743
32.75 	 1.6689960511488113e+42 	 42.22245530913802 	 0.14296132643126475
37.669999999998254 	 1.6051038807786093e+42 	 42.20550314477142 	 0.15169495793771692
#t_peak = 18.7300000000032
#L_peak = 1.9381316296865728e+42
#M_ni = 0.10169508546841322
