## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2005aw 	 0.009498 	 0.054 	 41.5 	 53445.67 
###############BgVriJH#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
18.7300000000032 	 1.4372828143434493e+42 	 42.15754223272981 	 0.07541520731002968
19.720000000001164 	 1.3896501443118206e+42 	 42.14290547685888 	 0.07656321487886068
20.7300000000032 	 1.3467076867296311e+42 	 42.129273338991695 	 0.07778275779073546
21.75 	 1.302298990349491e+42 	 42.114710703857284 	 0.07868532724832698
28.75 	 9.8347630844193e+41 	 41.99276390239784 	 0.07607856976596387
29.75 	 9.439566654472999e+41 	 41.974952057445215 	 0.07507404227912623
30.74000000000524 	 9.063805971677168e+41 	 41.957310600040266 	 0.0739771927222459
31.760000000002037 	 8.693660834083036e+41 	 41.93920269304835 	 0.07276648811254251
32.75 	 8.359662518734914e+41 	 41.922188745236916 	 0.07160642719157113
37.669999999998254 	 7.07700473286168e+41 	 41.849849486046836 	 0.06688326831256036
#t_peak = 18.7300000000032
#L_peak = 1.4372828143434493e+42
#M_ni = 0.07541520731002968
