## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2006aj 	 0.13 	 0.03345 	 145.0 	 53784.14861 
###############W1UBVRIJHKs#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
3.97039 	 4.83470444273e+42 	 42.6843699298 	 0.0877914283398
3.97839 	 4.69077167341e+42 	 42.6712442939 	 0.0852371427764
3.97939 	 4.78461077806e+42 	 42.6798466143 	 0.0869498826521
3.99039000001 	 4.84193422706e+42 	 42.6850188857 	 0.0880758764155
3.99839 	 4.81474104222e+42 	 42.6825729338 	 0.0876422021843
4.00639 	 4.82473761271e+42 	 42.6834736998 	 0.0878853020476
4.01539 	 4.85884421122e+42 	 42.6865329745 	 0.0885758712485
4.02739 	 4.81909708964e+42 	 42.6829656761 	 0.0879429909004
4.03539 	 4.80809027838e+42 	 42.6819726135 	 0.0878031631278
4.04439 	 4.89888948552e+42 	 42.6900976423 	 0.0895312943132
4.98139 	 5.32967234004e+42 	 42.7267005101 	 0.105568433051
5.96239 	 6.03478409911e+42 	 42.7806617374 	 0.129778052515
5.96339 	 6.07220109612e+42 	 42.7833461459 	 0.130593505404
5.97939 	 6.08447151976e+42 	 42.7842228626 	 0.131030636923
5.98039 	 6.15693915101e+42 	 42.7893648615 	 0.132602206959
6.97139000001 	 6.69329252257e+42 	 42.8256398058 	 0.156282380788
6.97339000001 	 6.80156192389e+42 	 42.8326086564 	 0.158835898442
6.98439000001 	 6.66152943834e+42 	 42.8235739514 	 0.155703278073
6.98639000001 	 6.7737707544e+42 	 42.8308304947 	 0.158352187479
7.97439 	 6.90301383661e+42 	 42.8390387439 	 0.174496489095
7.97539000001 	 7.03860283772e+42 	 42.8474864603 	 0.17793781515
7.98739 	 6.85671330217e+42 	 42.8361159908 	 0.173501737844
7.98839000001 	 6.87451108348e+42 	 42.8372418165 	 0.173965642342
8.97339000001 	 7.16892281802e+42 	 42.8554539047 	 0.195647066943
8.97539000001 	 7.30796220586e+42 	 42.8637962927 	 0.199471680362
8.98739 	 7.2236957456e+42 	 42.8587594457 	 0.197350125512
8.98939 	 7.34112564962e+42 	 42.8657626575 	 0.200588534106
9.96639 	 7.10675080311e+42 	 42.8516710873 	 0.208771989694
11.96839 	 6.78830187469e+42 	 42.8317611471 	 0.229523956349
12.96839 	 6.48746141856e+42 	 42.8120747881 	 0.234365813467
12.96939 	 6.59839956491e+42 	 42.8194386106 	 0.238389019058
13.99939 	 6.45022204912e+42 	 42.8095746655 	 0.248770730138
14.00139 	 6.60386504304e+42 	 42.8197981894 	 0.254727996597
#t_peak = 11.96839
#L_peak = 6.78830187469e+42
#M_ni = 0.229523956349
