## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2007gr 	 0.0017 	 0.085 	 9.289 	 54325.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
5.07 	 4.6017072031e+41 	 41.662918982 	 0.00918366039296
5.2 	 4.91046695704e+41 	 41.691122793 	 0.00990817452996
7.18 	 6.6213237624e+41 	 41.8209448241 	 0.0157207290456
7.2 	 6.45328687838e+41 	 41.8097809719 	 0.0153462500073
8.23 	 7.42689367996e+41 	 41.8708072068 	 0.0191501041369
9.13 	 8.04768228841e+41 	 41.9056708227 	 0.0222232299094
9.2 	 7.9574908652e+41 	 41.9007761487 	 0.0220897520141
10.24 	 8.13527193884e+41 	 41.9103720747 	 0.024377579825
11.01 	 8.50536791607e+41 	 41.9296931046 	 0.0269217976382
11.1 	 8.61960926859e+41 	 41.9354875795 	 0.0274558530856
13.03 	 9.02884228572e+41 	 41.9556320669 	 0.0327479698106
13.1 	 8.94007174863e+41 	 41.9513410042 	 0.0325729191298
13.93 	 8.64874945464e+41 	 41.9369533162 	 0.033212822653
14.1 	 8.92659963132e+41 	 41.9506860566 	 0.0346429579512
16.87 	 8.10097907382e+41 	 41.9085375103 	 0.0369152777365
17.02 	 8.0599018724e+41 	 41.9063297544 	 0.0370268645854
18.78 	 7.40936985418e+41 	 41.869781274 	 0.0372660484762
21.461 	 6.97818639525e+41 	 41.8437425658 	 0.0396802758422
21.77 	 6.70534766729e+41 	 41.8264213006 	 0.0386282536576
22.44 	 6.58247072635e+41 	 41.8183889364 	 0.0389756387293
23.4 	 6.16517618147e+41 	 41.7899454919 	 0.0379013310616
24.99 	 5.34579702577e+41 	 41.728012465 	 0.0348186444809
25.17 	 5.40016534603e+41 	 41.7324070576 	 0.0353918327844
26.455 	 4.87704271751e+41 	 41.6881565595 	 0.0333501965729
27.386 	 4.56917465782e+41 	 41.6598377594 	 0.0321588877074
28.17 	 4.15565993897e+41 	 41.6186400017 	 0.0299316373351
28.469 	 4.22867390465e+41 	 41.6262041957 	 0.0307184616676
29.429 	 3.87603967178e+41 	 41.5883882135 	 0.0289102892563
29.84 	 3.6534700009e+41 	 41.5627055456 	 0.0275479085172
30.403 	 3.64999731818e+41 	 41.5622925454 	 0.0279229748086
31.1 	 3.45945412104e+41 	 41.5390075754 	 0.0269268133193
31.421 	 3.51178216991e+41 	 41.5455275695 	 0.0275463934932
32.02 	 3.45474333423e+41 	 41.5384157876 	 0.02748296365
32.05 	 3.32451360217e+41 	 41.5217281142 	 0.0264652875461
32.1 	 3.20235680802e+41 	 41.5054697196 	 0.0255222128843
32.422 	 3.27616204536e+41 	 41.5153653747 	 0.0263027916416
33.03 	 3.2089572548e+41 	 41.5063639321 	 0.0261137168743
33.07 	 3.11769577114e+41 	 41.4938337339 	 0.0253932222696
33.467 	 3.07124478634e+41 	 41.4873144322 	 0.0252301200528
34.95 	 2.86902728393e+41 	 41.4577346783 	 0.0242978200638
35.14 	 2.8016911234e+41 	 41.4474202541 	 0.0238163525666
36.94 	 2.58453356376e+41 	 41.4123821765 	 0.0227230400792
38.1 	 2.34919716497e+41 	 41.3709194681 	 0.0210757120515
38.38 	 2.34655528326e+41 	 41.3704307904 	 0.021151599494
38.95 	 2.30885488869e+41 	 41.3633966384 	 0.0210088878747
39.0 	 2.26397638237e+41 	 41.354871892 	 0.0206173361556
