## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2007gr 	 0.0017 	 0.085 	 9.289 	 54325.0 
###############BVRIJHKs#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
23.403 	 1.01168213503e+42 	 42.005044081 	  0.06220175 
24.99 	 9.34410510058e+41 	 41.9705377147 	  0.06086072 
25.17 	 9.3041343939e+41 	 41.9686759749 	  0.06097783 
26.457 	 8.72797140817e+41 	 41.9409133149 	  0.05968742 
27.396 	 8.36360214314e+41 	 41.9223933652 	  0.05888266 
28.17 	 7.92245843927e+41 	 41.8988599696 	  0.05706245 
28.472 	 8.06758588407e+41 	 41.9067435974 	  0.05861054 
29.431 	 7.60805318287e+41 	 41.8812735398 	  0.05674936 
29.84 	 7.35461343262e+41 	 41.8665598506 	  0.05545528 
30.405 	 7.13273045631e+41 	 41.8532558125 	  0.05456912 
31.1 	 6.65705466509e+41 	 41.8232821232 	  0.05181548 
31.423 	 6.70023007717e+41 	 41.8260897161 	  0.05255907 
32.02 	 6.64051402504e+41 	 41.8222016983 	  0.05282621 
32.05 	 6.29908985932e+41 	 41.7992778038 	  0.05014485 
32.1 	 6.23669523378e+41 	 41.7949545221 	  0.04970535 
32.424 	 6.3334713267e+41 	 41.8016418087 	  0.05085081 
33.03 	 6.23416695179e+41 	 41.7947784286 	  0.05073214 
33.07 	 6.06066271258e+41 	 41.7825201154 	  0.0493633 
33.47 	 5.98590010235e+41 	 41.7771294647 	  0.04917702 
34.95 	 5.7930878144e+41 	 41.7629101118 	  0.04906172 
35.14 	 5.6000356284e+41 	 41.7481907901 	  0.04760426 
36.94 	 5.14763783269e+41 	 41.7116079841 	  0.04525768 
38.1 	 4.83049846663e+41 	 41.6839919486 	  0.04333659 
38.383 	 4.80616032249e+41 	 41.6817982538 	  0.04332439 
38.95 	 4.73713139231e+41 	 41.6755154308 	  0.04310442 
39.0 	 4.70110024415e+41 	 41.672199512 	  0.04281147 
40.14 	 4.5820790072e+41 	 41.6610625733 	  0.04249099 
43.06 	 4.18780897686e+41 	 41.6219868635 	  0.0405341 
44.394 	 4.01993500576e+41 	 41.6042190315 	  0.03962003 
44.93 	 3.91117807956e+41 	 41.5923075902 	  0.03882096 
45.409 	 3.8605264548e+41 	 41.5866465329 	  0.03855663 
46.07 	 3.77294208801e+41 	 41.5766801391 	  0.03800028 
48.1 	 3.49094394084e+41 	 41.5429428748 	  0.0360459 
50.03 	 3.40853804103e+41 	 41.5325681453 	  0.03599603 
52.342 	 3.31493911532e+41 	 41.5204755562 	  0.03592094 
54.42 	 3.21250388441e+41 	 41.5068436615 	  0.03559394 
56.01 	 3.1358002538e+41 	 41.4963483909 	  0.03532378 
56.465 	 3.08048093426e+41 	 41.4886185252 	  0.03486304 
57.06 	 3.01218325814e+41 	 41.4788813904 	  0.03429753 
57.1 	 2.99749911788e+41 	 41.476759064 	  0.0341442 
58.07 	 3.02513308454e+41 	 41.4807444853 	  0.03479813 
58.372 	 3.00508238804e+41 	 41.4778563832 	  0.03467231 
59.07 	 2.96830115499e+41 	 41.4725079611 	  0.03448718 
59.433 	 2.96204708943e+41 	 41.4715919585 	  0.03453867 
60.13 	 2.95372360031e+41 	 41.470369853 	  0.03467938 
64.05 	 2.77495423791e+41 	 41.4432558255 	  0.03384133 
64.507 	 2.7293907766e+41 	 41.4360657196 	  0.03343111 
64.9 	 2.69056953056e+41 	 41.4298442197 	  0.03307907 
66.377 	 2.6355624474e+41 	 41.4208733109 	  0.03285904 
67.1 	 2.632064873e+41 	 41.4202965892 	  0.03303956 
69.02 	 2.48703078437e+41 	 41.395681161 	  0.03178507 
69.404 	 2.46370943384e+41 	 41.3915894865 	  0.03159987 
70.379 	 2.45310286173e+41 	 41.3897157591 	  0.03175024 
71.02 	 2.4439587068e+41 	 41.3880938638 	  0.03182038 
72.98 	 2.34918389837e+41 	 41.3709170155 	  0.03114497 
73.455 	 2.32455988758e+41 	 41.3663407394 	  0.03095353 
76.46 	 2.23508116003e+41 	 41.3492932978 	  0.03059335 
77.08 	 2.23407404769e+41 	 41.3490975636 	  0.03075326 
77.325 	 2.21491228259e+41 	 41.3453565315 	  0.03055775 
78.08 	 2.16718380503e+41 	 41.3358957466 	  0.03010589 
78.493 	 2.15228491163e+41 	 41.3328997611 	  0.03001167 
#t_peak = 23.403
#L_peak = 1.01168213503e+42
#M_ni =  0.06220175 
