2007/08/17 2454329.7   -7.3 TNG+DOLORES+gm.LRS+LRB  12      900    3200- 7710 1
2007/08/17 2454329.7   -7.3 NOT+ALFOSC+gm.4         12      250    3400- 9060 2
2007/08/18 2454330.5   -6.5 Ekar+AFOSC+gm.4,gm.2    15-25  1200    3490- 9980 1
2007/08/20 2454332.7   -4.3 NOT+ALFOSC+gm.4         12      900    3240- 9110 1
2007/08/20 2454332.7   -4.3 TNG+DOLORES+gm.LRS+LRB  12      200    3180- 9400 1
2007/08/21 2454333.7   -3.3 NOT+ALFOSC+gm.4         12      300    3170- 9100 1
2007/08/22 2454334.7   -2.3 NOT+ALFOSC+gm.4         12      200    3190- 9110 1
2007/08/23 2454335.7   -1.3 NOT+ALFOSC+gm.4         12      300    3130- 9100 1
2007/08/26 2454338.5   +1.5 Pennar +B&C+300tr/mm    25      600    3270- 7810 1
2007/08/26 2454339.7   +2.7 NOT+ALFOSC+gm.4         12      600    3190- 9100 2
2007/08/31 2454344.5   +7.5 Pennar +B&C+300tr/mm    25     1200    3450- 7800 1
2007/09/07 2454350.7  +13.7 NOT+ALFOSC+gm.4         12      600    3200- 8940 1
2007/09/10 2454353.6  +16.6 NOT+ALFOSC+gm.4         12      600    3200- 9060 1
2007/09/14 2454357.6  +20.6 Loiano+BIFOSC+gm.4,5    15-25   900    3500- 9780 1
2007/09/14 2454357.5  +20.5 Ekar+AFOSC+gm.4,2       15     1200    3550- 9830 2
2007/09/15 2454358.6  +21.6 NOT+ALFOSC+gm.4         12      900    3070- 9270 2
2007/09/21 2454364.6  +27.6 Pennar +B&C+300tr/mm    25     3000    3270- 7830 2
2007/09/22 2454365.7  +28.7 NOT+ALFOSC+gm.4         12      900    3180- 9070 2
2007/09/25 2454368.6  +31.6 NOT+ALFOSC+gm.4         12      900    3200- 9100 2
2007/09/30 2454373.7  +36.7 NOT+ALFOSC+gm.4         12      900    3240- 9070 1
2007/10/09 2454382.6  +45.6 Ekar+AFOSC+gm.4,2       15-25  2400    3490-10050 2
2007/10/19 2454392.6  +55.6 Ekar+AFOSC+gm.4,2       15-25  1800    3540- 9860 2
2007/11/13 2454417.5  +80.5 Ekar+AFOSC+gm.4,2       15-25  2700    3490- 9980 2
2007/12/05 2454440.4 +103.4 Ekar+AFOSC+gm.4,2       15-25  2700    3490-10070 2
2007/12/15 2454450.5 +113.5 TNG+DOLORES+VHR+LRS      5     1800    4660- 6640 2
2008/01/06 2454472.3 +135.3 Ekar+AFOSC+gm.4,2       15-25  1800    3490-10180 2
2008/01/29 2454495.4 +158.4 CA+CAFOS+gm.b200,r200   12     2400x2  3210-10630 2, 3
2008/09/02 2454711.5 +374.5 CA+CAFOS+gm.g200        12     2700x3  3670-10460 2
2008/09/03 2454712.5 +375.5 GN+GMOS+R150            12     5400    4000-11000 2
