## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2008D 	 0.65 	 0.0649 	 31.0 	 54474.5 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
1.94 	 1.24674934637e+41 	 41.0957791492 	 0.0018893465425
1.944 	 1.24512783878e+41 	 41.0952139433 	 0.00188757649231
2.768 	 1.18446126151e+41 	 41.0735208614 	 0.00193423684987
2.965 	 1.18694229991e+41 	 41.0744296074 	 0.00197267803557
2.968 	 1.19221873002e+41 	 41.0763559404 	 0.00198197694603
3.805 	 1.13045607724e+41 	 41.0532536929 	 0.00202335066675
3.809 	 1.12339036458e+41 	 41.0505306946 	 0.00201140702093
3.987 	 1.16285338011e+41 	 41.0655249596 	 0.00211463271712
3.991 	 1.17043606304e+41 	 41.0683476946 	 0.00212916261371
5.897 	 1.34267078253e+41 	 41.1279695385 	 0.00287182662369
5.9 	 1.34914748007e+41 	 41.1300594265 	 0.00288639691029
7.014 	 1.60795432183e+41 	 41.2062737073 	 0.00376729824296
7.018 	 1.61110459026e+41 	 41.207123735 	 0.0037758909231
7.94 	 1.80862575283e+41 	 41.2573487104 	 0.00455965636143
7.944 	 1.80878857647e+41 	 41.2573878065 	 0.00456148998929
7.948 	 1.80160797128e+41 	 41.2556602947 	 0.0045447993473
7.951 	 1.80684455567e+41 	 41.2569207915 	 0.00455907591755
8.785 	 1.94197414496e+41 	 41.2882434435 	 0.00522482556023
8.788 	 1.94039230987e+41 	 41.2878895448 	 0.00522175861005
9.87 	 2.19699360683e+41 	 41.3418287931 	 0.00640875884796
9.874 	 2.21400282268e+41 	 41.3451781702 	 0.00646026501609
19.973 	 2.87220574001e+41 	 41.4582155458 	 0.0152907315832
19.976 	 2.89619066255e+41 	 41.461827149 	 0.0154205532543
20.871 	 2.80904405152e+41 	 41.4485585499 	 0.0155712690625
20.874 	 2.81337010083e+41 	 41.4492268677 	 0.0155973034902
21.844 	 2.83622890827e+41 	 41.4527412793 	 0.0163894350938
21.848 	 2.85744346591e+41 	 41.4559776467 	 0.0165147714402
22.908 	 2.78224476051e+41 	 41.4443953332 	 0.016782645355
23.816 	 2.78591398543e+41 	 41.4449677035 	 0.0173966953638
23.819 	 2.77631971812e+41 	 41.4434694776 	 0.017338714991
24.858 	 2.77078691572e+41 	 41.4426031281 	 0.0179641589212
24.862 	 2.76826927546e+41 	 41.4422083326 	 0.0179503447204
27.946 	 2.58465322679e+41 	 41.4124022837 	 0.0184958628283
27.95 	 2.56823927407e+41 	 41.409635483 	 0.0183805475017
28.853 	 2.53210108793e+41 	 41.4034810398 	 0.0185926233429
28.857 	 2.5222405823e+41 	 41.4017865091 	 0.0185222687773
29.878 	 2.3766481934e+41 	 41.3759648995 	 0.0179381922216
29.882 	 2.38960790701e+41 	 41.3783266466 	 0.0180378886486
30.922 	 2.24934500915e+41 	 41.3520560735 	 0.0174318737389
30.926 	 2.24847362748e+41 	 41.3518877981 	 0.0174268327448
34.783 	 1.83118196119e+41 	 41.2627315015 	 0.015456995441
34.787 	 1.83762260718e+41 	 41.2642563251 	 0.0155125971847
#t_peak = 19.976
#L_peak = 2.89619066255e+41
#M_ni = 0.0154205532543
