## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2008D 	 0.65 	 0.0649 	 31.0 	 54474.5 
###############W1UBVRIJHKs#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
1.94 	 3.38581957974e+41 	 41.5296638121 	 0.00513093232026
1.944 	 3.3833973425e+41 	 41.5293530039 	 0.00512912898496
2.768 	 3.20265426438e+41 	 41.5055100579 	 0.00522996580541
2.965 	 3.18754209173e+41 	 41.5034559284 	 0.00529764106669
2.968 	 3.19542411807e+41 	 41.5045285088 	 0.00531216023984
3.805 	 3.11858061707e+41 	 41.4939569753 	 0.00558180215749
3.809 	 3.10824430923e+41 	 41.4925151472 	 0.00556524661726
3.987 	 3.08218258483e+41 	 41.4888583622 	 0.00560490621214
3.991 	 3.09335100774e+41 	 41.4904292029 	 0.00562717394373
5.897 	 3.65260448856e+41 	 41.5626026485 	 0.00781252333226
5.9 	 3.66253980574e+41 	 41.5637823534 	 0.00783572125011
7.014 	 4.31987181631e+41 	 41.6354708602 	 0.0101210869504
7.018 	 4.32456862556e+41 	 41.6359427932 	 0.0101353441101
7.94 	 4.92516527479e+41 	 41.6924208088 	 0.0124166434881
7.944 	 4.9252406042e+41 	 41.6924274512 	 0.0124207085357
7.948 	 4.91452822567e+41 	 41.6914818337 	 0.0123975609724
7.951 	 4.92249781559e+41 	 41.6921855321 	 0.0124205710861
8.785 	 5.42679963341e+41 	 41.734543787 	 0.0146006482674
8.788 	 5.42597979928e+41 	 41.7344781726 	 0.0146017671739
9.87 	 6.06099172414e+41 	 41.782543691 	 0.0176802673521
9.874 	 6.08963883771e+41 	 41.7845915364 	 0.0177690291724
19.973 	 8.54651822269e+41 	 41.931789223 	 0.0454990094524
19.976 	 8.6579544728e+41 	 41.9374152978 	 0.0460986390666
20.871 	 8.58455030765e+41 	 41.93371755 	 0.0475864173611
20.874 	 8.61010757054e+41 	 41.9350085774 	 0.0477343740951
21.844 	 8.72475129342e+41 	 41.9407530559 	 0.050416856205
21.848 	 8.74971027675e+41 	 41.9419936728 	 0.0505694923144
22.908 	 8.73653215317e+41 	 41.9413390796 	 0.0526992171359
23.816 	 8.75439942423e+41 	 41.9422263577 	 0.0546670215494
23.819 	 8.68853757176e+41 	 41.9389466835 	 0.0542617896859
24.858 	 8.61804995998e+41 	 41.9354090074 	 0.0558743865121
24.862 	 8.61380666554e+41 	 41.9351951199 	 0.0558546816136
#t_peak = 23.816
#L_peak = 8.75439942423e+41
#M_ni = 0.0546670215494
