## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2008ax 	 0.001885 	 0.022 	 10.9 	 54528.3 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
3.71 	 7.27832638498e+40 	 40.8620315269 	 0.001291931442
3.75 	 7.33349324698e+40 	 40.8653108964 	 0.00130629004456
4.61 	 9.68006681123e+40 	 40.9858783548 	 0.00185760789523
4.73 	 9.92532170382e+40 	 40.9967445922 	 0.00192433088186
5.77 	 1.27775526645e+41 	 41.1064476796 	 0.00270432278263
6.8 	 1.63462352412e+41 	 41.2134177446 	 0.00376436396134
7.69 	 1.95231431785e+41 	 41.2905497393 	 0.0048264691638
8.67 	 2.45526051123e+41 	 41.390097579 	 0.00654828432749
8.78999999999 	 2.51326040468e+41 	 41.4002374892 	 0.00676442148636
9.71 	 2.79587568719e+41 	 41.4465178575 	 0.00806059544612
11.62 	 3.67350736462e+41 	 41.5650809149 	 0.0121298296892
12.57 	 4.38728193219e+41 	 41.6421955436 	 0.0154419289828
12.63 	 4.15045487252e+41 	 41.6180956962 	 0.0146661990405
14.75 	 5.01986917354e+41 	 41.7006923988 	 0.0202676126095
15.56 	 5.39972279136e+41 	 41.7323714648 	 0.0228659794968
15.62 	 5.5569238103e+41 	 41.7448344423 	 0.0236132511003
16.55 	 5.72900400094e+41 	 41.7580791255 	 0.0256539158339
17.59 	 6.18501535886e+41 	 41.7913407824 	 0.0292859966393
18.56 	 6.27412080705e+41 	 41.7975528767 	 0.0312147747335
22.51 	 6.96280214095e+41 	 41.8427840542 	 0.0413435524977
23.73 	 6.8405812064e+41 	 41.8350930029 	 0.0425796136119
24.59 	 6.2215312561e+41 	 41.7938972873 	 0.0399578062468
24.63 	 6.33107673225e+41 	 41.8014775772 	 0.0407190708853
25.57 	 6.02584761871e+41 	 41.7800181451 	 0.040031860209
26.72 	 5.93769423129e+41 	 41.7736178293 	 0.0409443224981
27.56 	 5.08714713174e+41 	 41.7064742986 	 0.0359917426389
27.62 	 5.19892780647e+41 	 41.7159137868 	 0.0368483604247
27.76 	 5.05872243319e+41 	 41.7040408508 	 0.0360035134499
28.57 	 4.93435131229e+41 	 41.6932300668 	 0.0359469687019
28.61 	 5.02028396001e+41 	 41.7007282826 	 0.0366140996972
29.54 	 4.57254382067e+41 	 41.6601578762 	 0.0342064153886
31.68 	 3.92675588316e+41 	 41.5940339031 	 0.0309911900157
32.6 	 3.70406702586e+41 	 41.5686788367 	 0.0298575044099
32.95 	 3.6165576182e+41 	 41.5582953886 	 0.0293791373567
33.58 	 3.4074475375e+41 	 41.532429178 	 0.0280594233973
34.6 	 3.20012455631e+41 	 41.5051668824 	 0.0269134431511
35.58 	 3.12564260025e+41 	 41.4949393174 	 0.0267973508972
35.67 	 3.19036850034e+41 	 41.5038408487 	 0.027399313175
37.55 	 2.87345429344e+41 	 41.4584042934 	 0.0255366510564
40.57 	 2.5417421614e+41 	 41.4051314929 	 0.0237268193512
41.57 	 2.43821416668e+41 	 41.3870718503 	 0.0231033368076
42.57 	 2.3842757261e+41 	 41.3773564773 	 0.0229197492268
42.61 	 2.37621573065e+41 	 41.3758858666 	 0.0228551726228
43.57 	 2.30087728378e+41 	 41.3618934564 	 0.022427193942
44.58 	 2.23452763884e+41 	 41.3491857308 	 0.0220775211441
46.56 	 2.12905750189e+41 	 41.3281873911 	 0.0215753443864
47.57 	 2.06649505618e+41 	 41.3152343706 	 0.0212022698756
48.6 	 2.00933477815e+41 	 41.3030523012 	 0.0208708579007
49.57 	 1.96275866279e+41 	 41.2928669028 	 0.0206187977114
50.58 	 1.92301614269e+41 	 41.2839829299 	 0.0204351470997
50.58 	 1.92301614269e+41 	 41.2839829299 	 0.0204351470997
51.59 	 1.86276091904e+41 	 41.2701571178 	 0.0200191902377
54.53 	 1.71251698742e+41 	 41.2336348882 	 0.0189963340439
56.55 	 1.75892707415e+41 	 41.2452478338 	 0.0199238004561
57.88 	 1.69252093738e+41 	 41.2285340498 	 0.0194319305835
59.67 	 1.6179816464e+41 	 41.2089735909 	 0.0189106009877
61.5 	 1.52983544409e+41 	 41.1846447187 	 0.0182039476291
64.6 	 1.4600161706e+41 	 41.1643576659 	 0.0178989413144
67.57 	 1.37498203452e+41 	 41.1382970237 	 0.0173360844384
70.58 	 1.30417312016e+41 	 41.1153352449 	 0.0169112657085
72.67 	 1.23634598325e+41 	 41.0921400222 	 0.0163444648193
73.54 	 1.15983314921e+41 	 41.0643955172 	 0.0154562627162
#t_peak = 22.51
#L_peak = 6.96280214095e+41
#M_ni = 0.0413435524977
