## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2008ax 	 0.0019 	 0.3 	 9.204 	 54528.3 
###############BVRIJHKs#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
11.087 	 7.25396609562e+41 	 41.8605755214 	  0.02308491
19.049 	 1.35203604258e+42 	 42.1309882692 	  0.06890067
20.979 	 1.45611253006e+42 	 42.1631949391 	  0.08109862
22.024 	 1.49563631748e+42 	 42.1748260023 	  0.08707275
22.999 	 1.48233137102e+42 	 42.1709452998 	  0.08973313
24.964 	 1.32855998598e+42 	 42.1233811681 	  0.08645472
26.057 	 1.2750443873e+42 	 42.1055253038 	  0.08607993
29.981 	 1.04717544228e+42 	 42.0200194489 	  0.07924939
30.979 	 1.00784840673e+42 	 42.0033952136 	  0.07821505
32.936 	 9.27274956818e+41 	 41.9672085308 	  0.0753041
34.038 	 8.65178688905e+41 	 41.9371058134 	  0.07193263
36.005 	 8.33470741332e+41 	 41.9208903587 	  0.07203404
39.956 	 7.28210493518e+41 	 41.8622569328 	  0.06733578
43.001 	 6.49368913642e+41 	 41.8124914944 	  0.06280136
45.025 	 6.06797667559e+41 	 41.7830439028 	  0.06030315
47.003 	 5.73230160201e+41 	 41.7583290325 	  0.05840852
48.981 	 5.49507170623e+41 	 41.739973364 	  0.05733273
51.007 	 5.17861734009e+41 	 41.7142138212 	  0.05529553
52.973 	 5.02313035707e+41 	 41.7009744488 	  0.05480442
57.96 	 4.58536617813e+41 	 41.6613740233 	  0.05268723
60.951 	 4.26874076812e+41 	 41.6302997818 	  0.05052388
62.947 	 4.14815714395e+41 	 41.6178552003 	  0.05005581
65.93 	 3.88624621315e+41 	 41.5895303119 	  0.04824798
69.888 	 3.65118180321e+41 	 41.5624334583 	  0.04704186
71.894 	 3.53829132128e+41 	 41.5487935872 	  0.04644245
#t_peak = 22.024
#L_peak = 1.49563631748e+42
#M_ni =  0.08707275
