## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2009iz 	 0.014 	 0.0729 	 57.54 	 55087.5 
###############BVriJHKs#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
13.773 	 9.35689171551e+41 	 41.9711316035 	 0.0369531473942
14.757 	 9.99791420915e+41 	 41.9999094058 	 0.0420005800639
15.751 	 1.04030287935e+42 	 42.0171598005 	 0.0463901158679
16.743 	 1.08962227254e+42 	 42.0372759719 	 0.051431769326
25.814 	 1.25936592701e+42 	 42.100151939 	 0.088904304809
31.832 	 1.1966703543e+42 	 42.0779745322 	 0.100334881979
32.732 	 1.17244838484e+42 	 42.0690937327 	 0.100387453405
34.703 	 1.14430143289e+42 	 42.0585404418 	 0.102228353008
35.897 	 1.09211983037e+42 	 42.038270293 	 0.0999021721736
36.688 	 1.06785110658e+42 	 42.028510702 	 0.0991485681349
38.758 	 1.0341545043e+42 	 42.0145854279 	 0.0995794027095
39.693 	 9.70316527628e+41 	 41.9869134289 	 0.0948767733687
40.68 	 9.65700799927e+41 	 41.9848425911 	 0.0959038024123
41.829 	 9.52129648413e+41 	 41.9786960889 	 0.0962069245097
43.703 	 8.74426368551e+41 	 41.9417232454 	 0.0907415021455
44.732 	 8.6074845478e+41 	 41.9348762517 	 0.0905720619267
45.665 	 8.09021341214e+41 	 41.907959978 	 0.0861742239256
46.664 	 7.85592497828e+41 	 41.8951973274 	 0.0847468195381
47.671 	 8.12504091756e+41 	 41.9098255568 	 0.0887456181512
48.656 	 7.88024232386e+41 	 41.8965395726 	 0.087096288021
49.705 	 7.71527900531e+41 	 41.8873516359 	 0.0863272455976
50.958 	 7.37808588494e+41 	 41.8679437063 	 0.083742992621
51.799 	 7.16958167225e+41 	 41.8554938164 	 0.0821437992939
55.893 	 6.34669673183e+41 	 41.8025477466 	 0.0759662912815
56.774 	 6.44772521346e+41 	 41.8094065206 	 0.0778780557789
58.79 	 5.84522085738e+41 	 41.7668009253 	 0.0720537304431
59.797 	 5.77710684175e+41 	 41.7617103995 	 0.071930451217
63.741 	 5.54538495733e+41 	 41.7439317 	 0.0717451901174
67.745 	 5.20823683617e+41 	 41.7166907249 	 0.069987846729
#t_peak = 25.814
#L_peak = 1.25936592701e+42
#M_ni = 0.088904304809
