## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2009iz 	 0.014 	 0.0729 	 57.54 	 55087.5 
###############BViJHKs#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
13.773 	 9.87992937011e+41 	 41.9947538399 	 0.0390187786028
14.757 	 1.0454197897e+42 	 42.019290717 	 0.0439173978282
15.751 	 1.09096771555e+42 	 42.0378118989 	 0.0486494075305
16.743 	 1.14330042191e+42 	 42.0581603638 	 0.0539654567017
25.814 	 1.31195663846e+42 	 42.1179194814 	 0.0926169196577
31.832 	 1.22323937222e+42 	 42.0875114512 	 0.102562562532
32.732 	 1.19097053825e+42 	 42.0759010182 	 0.101973358452
34.703 	 1.15947110512e+42 	 42.0642599302 	 0.103583564636
35.897 	 1.10317837148e+42 	 42.0426457386 	 0.100913757392
36.688 	 1.07648646669e+42 	 42.0320085744 	 0.0999503499427
38.758 	 1.04565263309e+42 	 42.0193874354 	 0.10068656493
39.693 	 9.82279334629e+41 	 41.9922350074 	 0.0960464870614
40.68 	 9.70136142233e+41 	 41.9868326844 	 0.0963442765138
41.829 	 9.58350826485e+41 	 41.9815245217 	 0.0968355368107
43.703 	 8.87235125378e+41 	 41.9480387271 	 0.0920707002082
44.732 	 8.77905290153e+41 	 41.943447666 	 0.0923773860574
45.665 	 8.15132276151e+41 	 41.9112280899 	 0.0868251400991
46.664 	 7.98083377874e+41 	 41.9020482656 	 0.0860942895815
47.671 	 8.1233855669e+41 	 41.909737067 	 0.0887275376124
48.656 	 7.84102035819e+41 	 41.8943725814 	 0.0866627876946
49.705 	 7.6634532469e+41 	 41.8844245122 	 0.0857473605447
50.958 	 7.34593898031e+41 	 41.8660473165 	 0.0833781177687
51.799 	 7.1359126616e+41 	 41.853449526 	 0.0817580445067
55.893 	 6.31660106848e+41 	 41.8004834494 	 0.0756060635875
56.774 	 6.47450047112e+41 	 41.8112062668 	 0.0782014574347
58.79 	 5.79239815915e+41 	 41.7628584068 	 0.0714025878169
59.797 	 5.69658741904e+41 	 41.7556147664 	 0.0709279081507
63.741 	 5.47884896665e+41 	 41.7386893286 	 0.0708843594738
67.745 	 5.1420194742e+41 	 41.7111337171 	 0.0690980234113
#t_peak = 25.814
#L_peak = 1.31195663846e+42
#M_ni = 0.0926169196577
