## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2010as 	 0.0073 	 0.57 	 27.164 	 55270.75 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
4.45 	 7.19080390565e+41 	 41.8567774456 	 0.0136108845738
5.45 	 9.02454796821e+41 	 41.9554254577 	 0.0185965152365
6.45 	 1.10336273127e+42 	 42.0427183105 	 0.0246975335568
8.35 	 1.47064463185e+42 	 42.167507742 	 0.038272983557
9.45 	 1.6542699984e+42 	 42.2186063935 	 0.0467857448058
9.45 	 1.6542699984e+42 	 42.2186063935 	 0.0467857448058
10.55 	 1.88131241799e+42 	 42.2744609222 	 0.0576421203771
12.45 	 2.12236594236e+42 	 42.3268202679 	 0.0741108497423
12.45 	 2.12236594236e+42 	 42.3268202679 	 0.0741108497423
13.45 	 2.2488727468e+42 	 42.3519648814 	 0.0837934836284
14.45 	 2.36483425136e+42 	 42.3738007069 	 0.0937655915824
14.45 	 2.36483425136e+42 	 42.3738007069 	 0.0937655915824
15.45 	 2.45557803716e+42 	 42.3901537404 	 0.103325025392
16.45 	 2.54811715023e+42 	 42.4062193909 	 0.113473953135
17.45 	 2.58037696002e+42 	 42.4116831555 	 0.121286325051
18.45 	 2.59066096729e+42 	 42.4134105818 	 0.12818435744
19.45 	 2.47705633526e+42 	 42.3939358838 	 0.128683474986
21.45 	 2.3174716228e+42 	 42.365014425 	 0.131717516954
23.45 	 2.16350031506e+42 	 42.3351569628 	 0.133257209178
24.45 	 2.02896342346e+42 	 42.307274218 	 0.129661620464
25.45 	 1.89948471382e+42 	 42.2786358029 	 0.125681229174
27.55 	 1.66132673189e+42 	 42.2204550532 	 0.117504382127
30.45 	 1.37638826431e+42 	 42.138740961 	 0.105420673166
34.45 	 1.14915343274e+42 	 42.0603780187 	 0.0963529149133
36.45 	 1.01898328192e+42 	 42.0081670588 	 0.0887965446876
41.45 	 8.68971580223e+41 	 41.939005573 	 0.082194432666
53.55 	 6.00199955908e+41 	 41.7782959592 	 0.0658906880881
57.35 	 5.36175588529e+41 	 41.7293070372 	 0.0612302014988
64.35 	 4.6865074527e+41 	 41.670849312 	 0.0573171330716
#t_peak = 18.45
#L_peak = 2.59066096729e+42
#M_ni = 0.12818435744
