## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2010bh 	 0.059 	 0.26 	 244.34 	 55271.53 
###############BVRi#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
5.004 	 2.08259979071e+42 	 42.3186058204 	 0.04133069987
5.472 	 2.15109174576e+42 	 42.3326589338 	 0.0444084956956
7.892 	 2.38256962092e+42 	 42.3770456 	 0.0598413621096
9.073 	 2.4216804477e+42 	 42.3841168354 	 0.0665876928873
11.016 	 2.30559068419e+42 	 42.3627822087 	 0.0730089123096
11.986 	 2.18258663136e+42 	 42.3389714908 	 0.0738847614753
16.046 	 1.6929440836e+42 	 42.228642614 	 0.0737077052026
17.024 	 1.59754747157e+42 	 42.2034537722 	 0.0734064843114
19.923 	 1.34133355493e+42 	 42.1275367891 	 0.0712437227241
22.979 	 1.11926026479e+42 	 42.048931086 	 0.0677018120505
25.957 	 9.05522550341e+41 	 41.9568992701 	 0.060933625703
29.942 	 6.6983567698e+41 	 41.8259682753 	 0.0506413528038
33.902 	 5.49220049748e+41 	 41.7397463831 	 0.0455342945954
#t_peak = 11.016
#L_peak = 2.30559068419e+42
#M_ni = 0.0730089123096
