## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2011bm 	 0.021778 	 0.064 	 91.9 	 55644.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
18.06 	 2.26297662886e+42 	 42.3546800688 	 0.109785594285
18.99 	 2.37221708472e+42 	 42.3751544294 	 0.120544023349
20.0 	 2.4790956485e+42 	 42.394293283 	 0.132143692295
20.86 	 2.50046927161e+42 	 42.3980215218 	 0.13854063755
21.91 	 2.60384623929e+42 	 42.415615335 	 0.15087855285
22.37 	 2.71575175869e+42 	 42.4338900695 	 0.160350406184
24.36 	 2.78763042238e+42 	 42.4452351955 	 0.17757012528
25.3 	 2.86856075611e+42 	 42.4576640527 	 0.18883826244
25.95 	 2.80355123302e+42 	 42.4477084969 	 0.188610825112
27.08 	 2.9420421799e+42 	 42.4686488949 	 0.205150154562
27.3 	 3.0110689528e+42 	 42.4787207009 	 0.211376043017
27.9 	 2.98426114224e+42 	 42.4748368241 	 0.213268064721
27.92 	 3.177125034e+42 	 42.5020343066 	 0.22718367238
28.4 	 3.20215032522e+42 	 42.5054417161 	 0.232160191427
30.39 	 3.23604323003e+42 	 42.5100143147 	 0.247480265743
30.88 	 3.25014678973e+42 	 42.5119029759 	 0.251618395593
31.91 	 3.25150759099e+42 	 42.5120847723 	 0.258003501744
32.94 	 3.28061136235e+42 	 42.5159547847 	 0.266442233411
38.91 	 3.15655056834e+42 	 42.4992127512 	 0.287035246537
40.87 	 3.0974565536e+42 	 42.4910052235 	 0.290461602805
44.99 	 2.86430074395e+42 	 42.4570186158 	 0.28452268699
45.1 	 2.96720223173e+42 	 42.472347147 	 0.295166084811
48.87 	 2.78949622984e+42 	 42.4455257788 	 0.290664025673
51.89 	 2.62357745756e+42 	 42.4188938907 	 0.282890655286
58.95 	 2.31262533901e+42 	 42.3641052798 	 0.268371703859
59.86 	 2.1847987495e+42 	 42.3394114386 	 0.25583370377
64.97 	 2.05411319571e+42 	 42.3126243725 	 0.252709974854
66.27 	 2.08534992948e+42 	 42.3191789417 	 0.259730057763
72.99 	 1.72730967174e+42 	 42.2373702048 	 0.229024078598
#t_peak = 32.94
#L_peak = 3.28061136235e+42
#M_ni = 0.266442233411
