## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2011dh 	 0.002 	 0.085 	 8.2 	 55712.5 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
3.2 	 1.1999035612e+41 	 41.0791463423 	 0.00203629477857
5.22 	 1.90184417143e+41 	 41.2791749299 	 0.00384395961537
6.22 	 2.5214275634e+41 	 41.4016464961 	 0.00553867698852
6.34 	 2.82437326545e+41 	 41.450922092 	 0.00626547313873
10.37 	 5.65809647524e+41 	 41.7526703483 	 0.0171140737584
11.37 	 6.36455282868e+41 	 41.8037678957 	 0.0206570452616
12.31 	 7.08478120628e+41 	 41.8503264428 	 0.024510262276
13.31 	 7.31317096794e+41 	 41.8641057265 	 0.0270070190071
14.28 	 7.96126356423e+41 	 41.9009820018 	 0.031240580902
14.32 	 7.38267994554e+41 	 41.8682140413 	 0.0290411890939
16.31 	 8.89385882918e+41 	 41.9490902317 	 0.0392998109181
17.31 	 9.17303097786e+41 	 41.9625128601 	 0.0427984783676
18.3 	 9.5253947528e+41 	 41.9788829828 	 0.0467773845658
18.32 	 9.5744461378e+41 	 41.9811136603 	 0.0470656747922
19.28 	 9.38500545217e+41 	 41.9724345293 	 0.0483618179666
20.31 	 9.81155886871e+41 	 41.9917380139 	 0.0530443951569
21.29 	 1.00350893311e+42 	 42.0015212429 	 0.0566478376313
21.37 	 9.74864616696e+41 	 41.9889443077 	 0.055219597067
22.27 	 9.86403574016e+41 	 41.9940546372 	 0.0580065623586
22.33 	 9.7002766151e+41 	 41.9867841189 	 0.0571823912594
23.28 	 9.52222612106e+41 	 41.9787384903 	 0.0582717750826
24.28 	 9.11371037422e+41 	 41.959695223 	 0.0578864682743
27.28 	 7.22964023574e+41 	 41.8591166863 	 0.0507210880701
28.28 	 6.94583202944e+41 	 41.8417242766 	 0.0501863063535
30.28 	 6.02015621778e+41 	 41.779607761 	 0.0459114264573
31.32 	 5.57097295304e+41 	 41.74593105 	 0.0435930862315
31.33 	 5.37743271666e+41 	 41.7305749851 	 0.0420887316208
33.28 	 5.00887241491e+41 	 41.6997399696 	 0.0409828463562
34.27 	 4.8000058066e+41 	 41.6812417627 	 0.0400992589838
36.3 	 4.39267843937e+41 	 41.6427294124 	 0.0381733128007
36.34 	 4.24623965291e+41 	 41.6280045016 	 0.036927968453
37.29 	 4.19761898465e+41 	 41.6230030154 	 0.0371352442496
38.26 	 4.03382272513e+41 	 41.6057168083 	 0.0362872444969
39.35 	 3.84993595343e+41 	 41.5854535048 	 0.0352591931747
41.21 	 3.41218229589e+41 	 41.5330322253 	 0.0321607589127
42.35 	 3.34990762417e+41 	 41.5250328313 	 0.0321019134582
44.34 	 3.18010718881e+41 	 41.5024417586 	 0.0313203081917
46.23 	 2.98559170703e+41 	 41.4750304157 	 0.0301308198014
47.21 	 2.89671338274e+41 	 41.4619055258 	 0.029590582712
48.23 	 2.8756460975e+41 	 41.4587354369 	 0.0297386346482
57.18 	 2.33356758098e+41 	 41.3680203827 	 0.0266030132345
59.677 	 2.29742428306e+41 	 41.3612412071 	 0.0268536289576
60.359 	 2.30198157622e+41 	 41.3621018435 	 0.0270882389727
60.36 	 2.29919749726e+41 	 41.361576278 	 0.0270557433722
60.362 	 2.26877462671e+41 	 41.3557913565 	 0.0266982673508
60.363 	 2.24215249175e+41 	 41.3506651462 	 0.0263852450176
60.365 	 2.24492810073e+41 	 41.3512024362 	 0.026418426645
60.365 	 2.24356258447e+41 	 41.3509381887 	 0.0264023571811
60.366 	 2.2641592249e+41 	 41.3549069649 	 0.026645001084
60.368 	 2.30157438993e+41 	 41.3620250164 	 0.0270858408028
60.368 	 2.30131421057e+41 	 41.3619759192 	 0.0270827789088
60.369 	 2.26533252183e+41 	 41.3551319599 	 0.0266595938565
60.37 	 2.28554517189e+41 	 41.3589898092 	 0.0268977307551
60.371 	 2.24155185984e+41 	 41.350548791 	 0.026380248827
60.371 	 2.24732710955e+41 	 41.3516662907 	 0.0264482162594
60.372 	 2.30216596128e+41 	 41.3621366284 	 0.0270938666347
60.373 	 2.24806630591e+41 	 41.3518091164 	 0.0264574351639
60.374 	 2.30379808053e+41 	 41.3624444121 	 0.0271136071876
60.374 	 2.30186149018e+41 	 41.3620791873 	 0.0270908152812
60.375 	 2.24938398233e+41 	 41.3520635982 	 0.026473462662
60.376 	 2.27387079778e+41 	 41.3567657843 	 0.0267619157572
60.377 	 2.30087068306e+41 	 41.3618922105 	 0.0270799519275
60.377 	 2.30055252209e+41 	 41.3618321527 	 0.0270762073521
60.378 	 2.25541615417e+41 	 41.3532266867 	 0.0265452383224
60.379 	 2.28548832461e+41 	 41.358979007 	 0.0268994383761
60.38 	 2.25834195762e+41 	 41.3537897033 	 0.0265801955896
60.38 	 2.26157941218e+41 	 41.354411842 	 0.0266182997284
60.381 	 2.3014794735e+41 	 41.3620071058 	 0.0270881807261
60.382 	 2.24465361314e+41 	 41.3511493318 	 0.026419605449
60.383 	 2.25730663861e+41 	 41.3535905588 	 0.026568792558
60.383 	 2.25652760672e+41 	 41.3534406511 	 0.0265596232514
60.384 	 2.30165496161e+41 	 41.3620402196 	 0.0270910440254
