## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2011dh 	 0.002 	 0.085 	 7.87 	 55712.5 
###############BVRIJHK#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
3.51 	 1.7371510859e+41 	 41.2398375921 	 0.003099598377
9.4 	 5.96033917965e+41 	 41.7752709744 	 0.0173274435845
12.5 	 9.0249630208e+41 	 41.9554454311 	 0.0327750207189
17.51 	 1.21961507654e+42 	 42.0862227844 	 0.0600437133531
24.72 	 1.26249152315e+42 	 42.1012284708 	 0.085772192699
28.13 	 1.07713927007e+42 	 42.0322718596 	 0.0818359121188
35.43 	 7.98122386854e+41 	 41.9020694927 	 0.0723487225148
37.42 	 7.44154325949e+41 	 41.8716630108 	 0.0700175690811
38.42 	 7.24716335257e+41 	 41.8601680505 	 0.069386382097
45.45 	 5.62530558004e+41 	 41.7501461193 	 0.0597525027414
46.41 	 5.49430431471e+41 	 41.7399127102 	 0.0590817775154
49.41 	 5.15856286138e+41 	 41.7125287271 	 0.0575224999069
50.42 	 5.03518609531e+41 	 41.7020155263 	 0.0568035301084
52.45 	 4.72128120493e+41 	 41.6740598683 	 0.0544816732938
56.41 	 4.37431831145e+41 	 41.6409103827 	 0.0526378950986
60.37 	 4.2150558058e+41 	 41.6248033289 	 0.052778881048
61.4 	 4.20153635224e+41 	 41.6234081255 	 0.0531429193394
63.4 	 4.06696557982e+41 	 41.6092704968 	 0.0524458199166
68.41 	 4.07428276448e+41 	 41.6100511667 	 0.0550917967476
74.44 	 3.20979874557e+41 	 41.506477803 	 0.0458929227529
81.41 	 2.98575375868e+41 	 41.4750539877 	 0.0454907381668
#t_peak = 24.72
#L_peak = 1.26249152315e+42
#M_ni = 0.085772192699
