## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2011dh 	 0.002 	 0.085 	 7.87 	 55712.5 
###############W1UBVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
3.2 	 1.84398925152e+41 	 41.2657583853 	 0.00312933956197
5.22 	 2.5201394318e+41 	 41.4014245697 	 0.00509364244791
6.22 	 3.24957470843e+41 	 41.5118265259 	 0.00713815654326
6.34 	 3.60724805809e+41 	 41.5571760083 	 0.00800217028293
10.37 	 7.13120209659e+41 	 41.8531627444 	 0.0215697839727
11.37 	 7.91021085081e+41 	 41.89818806 	 0.0256736942834
12.31 	 8.70010936348e+41 	 41.9395247119 	 0.0300985953017
13.31 	 8.95199015321e+41 	 41.9519195958 	 0.033059061422
14.28 	 9.58481155677e+41 	 41.9815835788 	 0.0376115020504
14.32 	 8.94401269209e+41 	 41.9515324068 	 0.0351829912397
16.31 	 1.06135255629e+42 	 42.0258596703 	 0.0468986022612
17.31 	 1.09091873762e+42 	 42.0377924013 	 0.0508988382415
18.3 	 1.12661560158e+42 	 42.0517757611 	 0.0553259288678
18.32 	 1.14014212637e+42 	 42.0569589924 	 0.0560466451681
19.28 	 1.11161232974e+42 	 42.0459533552 	 0.0572824314426
20.31 	 1.14454272494e+42 	 42.0586320092 	 0.0618776051676
21.29 	 1.15545491823e+42 	 42.0627530055 	 0.0652251519031
21.37 	 1.13829430033e+42 	 42.0562545613 	 0.0644768017338
22.27 	 1.12276793631e+42 	 42.0502900017 	 0.0660256207777
22.33 	 1.11444656056e+42 	 42.0470592482 	 0.0656957752777
23.28 	 1.068158267e+42 	 42.0286356061 	 0.0653665198623
24.28 	 1.00208364824e+42 	 42.0009039755 	 0.0636481530907
27.28 	 7.64376091436e+41 	 41.8833070945 	 0.0536264403044
28.28 	 7.22300257898e+41 	 41.8587177699 	 0.0521889701169
30.28 	 6.15847597025e+41 	 41.7894732512 	 0.0469662922969
31.32 	 5.63170914752e+41 	 41.7506402174 	 0.044068349383
31.33 	 5.53143272388e+41 	 41.7428376346 	 0.0432940772411
33.28 	 5.04363992416e+41 	 41.7027440738 	 0.0412673158678
34.27 	 4.815218432e+41 	 41.6826159927 	 0.0402263452895
36.3 	 4.41080949821e+41 	 41.6445183011 	 0.0383308755702
36.34 	 4.30654647339e+41 	 41.6341291382 	 0.0374524344621
37.29 	 4.21713018816e+41 	 41.6250170084 	 0.0373078547963
38.26 	 4.03660968674e+41 	 41.6060167581 	 0.0363123152955
39.35 	 3.85846142121e+41 	 41.5864141623 	 0.0353372726854
41.21 	 3.40846207632e+41 	 41.5325584663 	 0.0321256948176
42.35 	 3.3753433907e+41 	 41.5283179624 	 0.0323456625007
44.34 	 3.23029671227e+41 	 41.5092424154 	 0.0318146158517
46.23 	 2.9932311143e+41 	 41.476140251 	 0.0302079172837
47.21 	 2.91282594729e+41 	 41.4643145346 	 0.029755176205
48.23 	 2.88038681921e+41 	 41.4594508149 	 0.0297876610534
57.18 	 2.39326818179e+41 	 41.378991367 	 0.0272836088541
59.677 	 2.37380010335e+41 	 41.3754441444 	 0.0277463538907
60.359 	 2.38389830493e+41 	 41.3772877248 	 0.0280521823621
60.36 	 2.38258407818e+41 	 41.3770482352 	 0.0280369926719
60.362 	 2.35535855696e+41 	 41.3720570293 	 0.0277171613788
60.363 	 2.33283984765e+41 	 41.367884925 	 0.0274524374206
60.365 	 2.33594352898e+41 	 41.3684623396 	 0.0274895007761
60.365 	 2.33594352898e+41 	 41.3684623396 	 0.0274895007761
60.366 	 2.34969472777e+41 	 41.3710114424 	 0.0276515970609
60.368 	 2.38464770624e+41 	 41.377424228 	 0.0280634805568
60.368 	 2.38464770624e+41 	 41.377424228 	 0.0280634805568
60.369 	 2.35225210992e+41 	 41.3714838668 	 0.0276825081061
60.37 	 2.37087477699e+41 	 41.3749086164 	 0.0279019431293
60.371 	 2.33414887906e+41 	 41.3681285532 	 0.0274699993929
60.371 	 2.33414887906e+41 	 41.3681285532 	 0.0274699993929
60.372 	 2.38203850232e+41 	 41.376948777 	 0.0280338753096
60.373 	 2.33787798981e+41 	 41.3688218423 	 0.027514426587
60.374 	 2.38338037143e+41 	 41.3771933583 	 0.0280502183397
60.374 	 2.38338037143e+41 	 41.3771933583 	 0.0280502183397
60.375 	 2.33913842037e+41 	 41.3690559223 	 0.0275298011008
60.376 	 2.35676685542e+41 	 41.3723166218 	 0.0277375460847
60.377 	 2.38142621739e+41 	 41.3768371305 	 0.028028045192
60.377 	 2.38142621739e+41 	 41.3768371305 	 0.028028045192
60.378 	 2.3410333615e+41 	 41.3694076028 	 0.0275529145195
60.379 	 2.36577699447e+41 	 41.3739738043 	 0.0278444093497
60.38 	 2.34793915125e+41 	 41.3706868376 	 0.0276347351481
60.38 	 2.34793915125e+41 	 41.3706868376 	 0.0276347351481
60.381 	 2.38212511556e+41 	 41.376964568 	 0.0280373717799
60.382 	 2.33363841925e+41 	 41.3680335661 	 0.0274669579022
60.383 	 2.34545575582e+41 	 41.3702272449 	 0.0276063191259
60.383 	 2.34545575582e+41 	 41.3702272449 	 0.0276063191259
60.384 	 2.38612918835e+41 	 41.3776939533 	 0.0280853264152
60.385 	 2.33737375083e+41 	 41.3687281625 	 0.027511733013
60.386 	 2.38747839677e+41 	 41.3779394505 	 0.028101758645
60.386 	 2.38747839677e+41 	 41.3779394505 	 0.028101758645
60.387 	 2.37626112325e+41 	 41.3758941628 	 0.0279700005514
60.388 	 2.36135852451e+41 	 41.3731619309 	 0.0277948609799
60.389 	 2.3537123633e+41 	 41.3717533886 	 0.0277051322085
60.416 	 2.30740222001e+41 	 41.3631233061 	 0.0271672221735
60.646 	 2.38271115632e+41 	 41.3770713983 	 0.0281172359124
61.36 	 2.37604837447e+41 	 41.3758552783 	 0.0282347849292
61.361 	 2.36778222666e+41 	 41.3743417563 	 0.0281368315401
61.362 	 2.3825195847e+41 	 41.3770364793 	 0.0283122341783
61.362 	 2.3825195847e+41 	 41.3770364793 	 0.0283122341783
61.363 	 2.37737994987e+41 	 41.3760985957 	 0.0282514333311
61.364 	 2.38384685123e+41 	 41.377278351 	 0.0283285581231
61.365 	 2.3393238484e+41 	 41.3690903483 	 0.0277997375463
61.365 	 2.3393238484e+41 	 41.3690903483 	 0.0277997375463
61.366 	 2.33149576296e+41 	 41.3676346305 	 0.0277069809651
61.367 	 2.38001784443e+41 	 41.3765802132 	 0.0282838820369
61.368 	 2.33574029681e+41 	 41.3684245534 	 0.0277579625569
61.368 	 2.33574029681e+41 	 41.3684245534 	 0.0277579625569
61.369 	 2.36098061294e+41 	 41.3730924209 	 0.0280581919079
61.37 	 2.3794222213e+41 	 41.3764715131 	 0.0282776296111
61.371 	 2.33458260609e+41 	 41.3682092455 	 0.0277450148826
61.371 	 2.33458260609e+41 	 41.3682092455 	 0.0277450148826
61.372 	 2.36228415106e+41 	 41.3733321362 	 0.0280745032707
61.373 	 2.36230033823e+41 	 41.3733351121 	 0.0280749689665
61.374 	 2.33162525093e+41 	 41.36765875 	 0.027710677928
61.374 	 2.33162525093e+41 	 41.36765875 	 0.027710677928
61.374 	 2.33162525093e+41 	 41.36765875 	 0.027710677928
61.375 	 2.37821657772e+41 	 41.3762514021 	 0.0282646772577
61.376 	 2.36423571158e+41 	 41.373690773 	 0.0280987907178
61.377 	 2.33227389309e+41 	 41.3677795509 	 0.0277191963902
61.377 	 2.33227389309e+41 	 41.3677795509 	 0.0277191963902
61.378 	 2.3750590458e+41 	 41.375674411 	 0.0282279749513
61.379 	 2.37892432833e+41 	 41.3763806277 	 0.0282741897284
61.38 	 2.37958410476e+41 	 41.3765010592 	 0.0282823066811
61.38 	 2.37958410476e+41 	 41.3765010592 	 0.0282823066811
61.381 	 2.36494675731e+41 	 41.3738213678 	 0.0281086095953
61.382 	 2.35432984849e+41 	 41.3718673087 	 0.0279826945706
61.383 	 2.37578003964e+41 	 41.3758062292 	 0.0282379185003
62.526 	 2.3574926579e+41 	 41.3724503489 	 0.0283326877819
62.645 	 2.419247656e+41 	 41.3836803289 	 0.0291082633988
63.358 	 2.63174954764e+41 	 41.420244557 	 0.0318829826651
63.359 	 2.60968231164e+41 	 41.4165876419 	 0.0316159470258
63.36 	 2.62750588453e+41 	 41.4195436973 	 0.0318321826299
63.361 	 2.63843649952e+41 	 41.4213466463 	 0.0319649135268
63.361 	 2.63843649952e+41 	 41.4213466463 	 0.0319649135268
63.362 	 2.65267153805e+41 	 41.4236834776 	 0.0321376807609
63.363 	 2.64643665741e+41 	 41.4226615036 	 0.0320624514947
63.364 	 2.65894597088e+41 	 41.4247095127 	 0.0322143150424
63.364 	 2.65894597088e+41 	 41.4247095127 	 0.0322143150424
63.365 	 2.62446982987e+41 	 41.4190415846 	 0.0317969263235
63.366 	 2.63352324073e+41 	 41.4205371553 	 0.0319069196244
63.367 	 2.61908188634e+41 	 41.418149077 	 0.0317322572892
63.367 	 2.61908188634e+41 	 41.418149077 	 0.0317322572892
63.368 	 2.66018612266e+41 	 41.4249120236 	 0.0322305770036
63.369 	 2.65200387709e+41 	 41.4235741546 	 0.0321317499422
63.37 	 2.6595416475e+41 	 41.4248067956 	 0.0322233869409
63.37 	 2.6595416475e+41 	 41.4248067956 	 0.0322233869409
63.371 	 2.61846320395e+41 	 41.4180464753 	 0.0317259790406
63.372 	 2.62502771779e+41 	 41.4191338935 	 0.0318058215525
63.372 	 2.62502771779e+41 	 41.4191338935 	 0.0318058215525
63.373 	 2.62803037781e+41 	 41.419630381 	 0.0318425084192
63.373 	 2.62803037781e+41 	 41.419630381 	 0.0318425084192
63.374 	 2.60550207356e+41 	 41.4158914231 	 0.0315698472986
63.375 	 2.6214174565e+41 	 41.4185361871 	 0.0317629924985
63.376 	 2.65887364972e+41 	 41.4246977 	 0.0322171479624
63.376 	 2.65887364972e+41 	 41.4246977 	 0.0322171479624
63.377 	 2.61605421515e+41 	 41.4176467401 	 0.0316986158244
63.378 	 2.64510735578e+41 	 41.4224433032 	 0.0320509589736
63.379 	 2.64448273473e+41 	 41.4223407359 	 0.0320436978232
63.379 	 2.64448273473e+41 	 41.4223407359 	 0.0320436978232
63.38 	 2.62558013838e+41 	 41.4192252784 	 0.0318149567173
63.381 	 2.6172154348e+41 	 41.4178394728 	 0.0317139033088
63.382 	 2.61484094532e+41 	 41.4174452769 	 0.0316854346034
63.382 	 2.61484094532e+41 	 41.4174452769 	 0.0316854346034
63.383 	 2.64137418822e+41 	 41.4218299296 	 0.0320072592541
63.384 	 2.60427812777e+41 	 41.4156873635 	 0.0315580447773
63.39 	 2.61597588669e+41 	 41.4176337365 	 0.0317016202687
63.391 	 2.62191837067e+41 	 41.4186191665 	 0.0317739388874
63.601 	 2.59661115473e+41 	 41.4144069184 	 0.0315306651005
64.302 	 2.49402902921e+41 	 41.3969015041 	 0.0304886254313
64.36 	 2.46731183744e+41 	 41.3922240424 	 0.0301787050576
64.361 	 2.48475756054e+41 	 41.3952840207 	 0.0303923806528
64.362 	 2.50695568584e+41 	 41.3991466572 	 0.0306641900112
64.362 	 2.50695568584e+41 	 41.3991466572 	 0.0306641900112
64.363 	 2.48707137277e+41 	 41.3956882486 	 0.0304212622267
64.364 	 2.48290985407e+41 	 41.3949609521 	 0.0303706490992
64.365 	 2.47760585193e+41 	 41.3940322181 	 0.0303060601514
64.365 	 2.47760585193e+41 	 41.3940322181 	 0.0303060601514
64.366 	 2.50746198103e+41 	 41.3992343568 	 0.0306715525858
64.367 	 2.50804754417e+41 	 41.399335765 	 0.0306790077678
64.368 	 2.50375055033e+41 	 41.3985910578 	 0.030626737971
64.368 	 2.50375055033e+41 	 41.3985910578 	 0.030626737971
64.369 	 2.4722667223e+41 	 41.3930953231 	 0.0302419052946
64.37 	 2.49945477235e+41 	 41.3978452826 	 0.0305747735556
64.371 	 2.49162031399e+41 	 41.396481863 	 0.0304792285357
64.371 	 2.49162031399e+41 	 41.396481863 	 0.0304792285357
64.372 	 2.47218803176e+41 	 41.3930814996 	 0.0302418077077
64.373 	 2.5011912982e+41 	 41.3981469091 	 0.0305968908853
64.374 	 2.48500729688e+41 	 41.3953276683 	 0.0303992030054
64.374 	 2.48500729688e+41 	 41.3953276683 	 0.0303992030054
64.375 	 2.4703742333e+41 	 41.3927627489 	 0.0302204842215
64.376 	 2.48791678696e+41 	 41.3958358505 	 0.0304353752644
64.377 	 2.47147798972e+41 	 41.3929567471 	 0.0302345631578
64.377 	 2.47147798972e+41 	 41.3929567471 	 0.0302345631578
64.378 	 2.49924494894e+41 	 41.3978088231 	 0.0305745387942
64.379 	 2.46566572999e+41 	 41.391934199 	 0.0301640346518
64.38 	 2.4955770829e+41 	 41.3971709888 	 0.0305302500518
64.38 	 2.4955770829e+41 	 41.3971709888 	 0.0305302500518
64.381 	 2.47253143238e+41 	 41.3931418213 	 0.0302486038543
64.382 	 2.49612581889e+41 	 41.3972664725 	 0.030537545414
64.383 	 2.46556083633e+41 	 41.391915723 	 0.0301639016958
64.383 	 2.46556083633e+41 	 41.391915723 	 0.0301639016958
64.647 	 2.37441134119e+41 	 41.375555958 	 0.0291219168445
64.677 	 2.39520895269e+41 	 41.3793434063 	 0.0293853868658
65.365 	 2.3746807944e+41 	 41.3756052398 	 0.029324547946
65.366 	 2.34697680276e+41 	 41.3705087971 	 0.028982710608
65.366 	 2.34697680276e+41 	 41.3705087971 	 0.028982710608
65.367 	 2.37903548142e+41 	 41.3764009192 	 0.0293788802993
65.368 	 2.37043509142e+41 	 41.3748280677 	 0.0292729509743
65.369 	 2.3852910873e+41 	 41.3775413854 	 0.0294566897253
65.369 	 2.3852910873e+41 	 41.3775413854 	 0.0294566897253
65.37 	 2.38281120513e+41 	 41.3770896337 	 0.0294263438622
65.371 	 2.36137418678e+41 	 41.3731648115 	 0.0291618855037
65.372 	 2.35121718026e+41 	 41.3712927465 	 0.0290367264074
65.372 	 2.35121718026e+41 	 41.3712927465 	 0.0290367264074
65.373 	 2.36807476837e+41 	 41.3743954105 	 0.0292451890824
65.374 	 2.39039225537e+41 	 41.3784691731 	 0.0295210848643
