## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2011hs 	 0.0057 	 0.171 	 23.5 	 55871.5 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
8.57 	 2.2566694292e+41 	 41.3534679456 	 0.00597287170671
8.77 	 2.21810207127e+41 	 41.3459815274 	 0.0059609469497
9.17 	 2.57980701843e+41 	 41.4115872199 	 0.00714539344625
9.64 	 2.78124266522e+41 	 41.444238883 	 0.00797718477593
10.53 	 3.30878402744e+41 	 41.5196684206 	 0.0101234257431
10.58 	 3.32068729278e+41 	 41.5212279803 	 0.0101961464432
11.33 	 3.81560046111e+41 	 41.5815628926 	 0.012349821835
11.53 	 3.88566464284e+41 	 41.5894653156 	 0.0127513755285
11.54 	 3.89111396395e+41 	 41.5900739507 	 0.0127780371053
12.57 	 4.45517645674e+41 	 41.6488649099 	 0.0156808975385
13.53 	 4.83988753713e+41 	 41.6848352702 	 0.0181252563285
13.75 	 4.9206166797e+41 	 41.6920195344 	 0.0186848199838
15.54 	 5.25314500423e+41 	 41.7204193889 	 0.0222195770422
15.59 	 5.20183285392e+41 	 41.7161563933 	 0.0220661603509
17.53 	 5.42357179931e+41 	 41.7342853939 	 0.0256000029849
19.53 	 5.1470637045e+41 	 41.7115595435 	 0.0268405421751
21.53 	 4.70667961257e+41 	 41.6727146365 	 0.0268421502933
23.58 	 4.04056364348e+41 	 41.6064419518 	 0.0250097304636
26.58 	 3.07695550128e+41 	 41.4881212156 	 0.0211243940865
28.68 	 2.54736251193e+41 	 41.4060907533 	 0.0186149501247
29.53 	 2.3999903945e+41 	 41.3802095035 	 0.0179491431757
31.54 	 2.03132698677e+41 	 41.3077798383 	 0.0159789142269
31.58 	 2.01865512292e+41 	 41.3050621283 	 0.0158942943217
32.54 	 1.8946882393e+41 	 41.2775377594 	 0.0152520566142
33.54 	 1.80926319148e+41 	 41.2575017478 	 0.0148861446283
34.62 	 1.72047671201e+41 	 41.2356487985 	 0.0144752413207
36.54 	 1.56010537463e+41 	 41.193153933 	 0.0136175160837
38.54 	 1.43131219623e+41 	 41.1557343719 	 0.0129361926694
38.6 	 1.41682343041e+41 	 41.1513157303 	 0.0128180092687
39.56 	 1.37486235566e+41 	 41.138259221 	 0.0126338386873
42.56 	 1.18843305877e+41 	 41.0749747241 	 0.0114226465607
44.54 	 1.16137495021e+41 	 41.0649724545 	 0.0114685291299
44.54 	 1.16137495021e+41 	 41.0649724545 	 0.0114685291299
#t_peak = 17.53
#L_peak = 5.42357179931e+41
#M_ni = 0.0256000029849
