## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2012ap 	 0.012 	 0.445 	 49.8 	 55962.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
11.15 	 2.09363128066e+42 	 42.3209001984 	 0.0669212032562
12.19 	 2.16372805727e+42 	 42.3352026767 	 0.0742579521659
16.15 	 2.16872340498e+42 	 42.3362041664 	 0.0949767380434
18.13 	 2.05680558097e+42 	 42.3131932421 	 0.100139992401
19.15 	 1.93318444663e+42 	 42.2862732924 	 0.0989985598676
20.14 	 1.8497841198e+42 	 42.2671210468 	 0.0992347443859
21.14 	 1.80142413958e+42 	 42.2556159781 	 0.101035100235
28.14 	 1.17485223264e+42 	 42.0699832465 	 0.0845470427603
29.14 	 1.08332106448e+42 	 42.0347571878 	 0.0801743892517
30.16 	 1.04810397171e+42 	 42.0204043667 	 0.0796865728424
31.14 	 9.95466095538e+41 	 41.998026473 	 0.0775578633263
32.15 	 8.9581145424e+41 	 41.9522166112 	 0.0714766095665
33.16 	 8.61617230964e+41 	 41.9353143756 	 0.0703151552183
34.15 	 8.26252861669e+41 	 41.9171129766 	 0.0688553532141
#t_peak = 16.15
#L_peak = 2.16872340498e+42
#M_ni = 0.0949767380434
