#date t B B_e V V_e R R_e I I_e z z_e
20120315 -6 14.149 0.025 13.524 0.012 13.408 0.015 13.283 0.011 13.506 0.013
20120317 -4 14.044 0.016 13.395 0.019 13.258 0.017 13.150 0.020 13.332 0.042
20120318 -3 14.083 0.018 13.321 0.028 13.171 0.015 13.018 0.012 13.268 0.019
20120319 -2 14.023 0.014 13.326 0.013 13.182 0.014 13.050 0.009 13.282 0.009
20120320 -1 14.033 0.011 13.271 0.010 13.134 0.049 12.906 0.089 13.323 0.103
20120321 0 14.130 0.009 13.302 0.040 13.149 0.011 13.005 0.010 13.267 0.011
20120326 5 14.556 0.010 13.482 0.012 13.212 0.010 13.015 0.009 13.342 0.012
20120327 6 14.698 0.011 13.524 0.011 13.236 0.009 13.003 0.008 13.387 0.015
20120328 7 14.812 0.009 13.600 0.010 13.267 0.007 13.027 0.008 13.387 0.009
20120401 11 15.294 0.012 13.884 0.007 13.483 0.009 13.173 0.010 13.667 0.008
20120402 12 15.350 0.029 13.909 0.019 13.491 0.017 13.164 0.011 13.672 0.016
20120404 14 15.844 0.095 14.128 0.025 13.677 0.008 13.331 0.017 13.879 0.024
20120405 15 15.871 0.087 14.195 0.026 13.722 0.009 13.365 0.011 13.918 0.015
20120412 22 15.979 0.037 14.480 0.035 14.047 0.086 13.594 0.009 14.320 0.016
20120414 24 16.189 0.041 14.602 0.010 14.101 0.011 13.699 0.015 14.349 0.011
20120415 25 16.191 0.017 14.615 0.009 14.120 0.011 13.689 0.010 14.382 0.011
20120416 26 16.261 0.020 14.645 0.009 14.167 0.012 13.734 0.011 14.447 0.010
20120417 27 16.250 0.025 14.654 0.010 14.178 0.015 13.750 0.009 14.456 0.008
20120418 28 16.272 0.045 14.705 0.016 14.237 0.021 13.797 0.013 14.522 0.009
20120424 34 16.332 0.081 14.849 0.011 14.384 0.010 13.930 0.011 14.692 0.009
20120426 36 16.399 0.031 14.842 0.010 14.409 0.019 13.963 0.014 14.722 0.012
20120428 38 16.444 0.033 14.884 0.022 14.439 0.014 13.985 0.009 14.763 0.014
20120505 45 16.476 0.051 15.059 0.043 14.665 0.016 14.164 0.016 15.032 0.011
20120507 47 16.534 0.026 15.055 0.021 14.657 0.010 14.185 0.012 15.010 0.010
20120509 49 16.494 0.036 15.206 0.025 14.631 0.036 14.165 0.030 14.986 0.035
20120510 50 16.601 0.109 15.158 0.109 14.783 0.114 14.295 0.113 15.136 0.125
20120511 51 16.404 0.085 no no 14.739 0.063 no no no no
20120512 52 16.512 0.014 15.091 0.009 14.712 0.018 14.218 0.010 15.078 0.009
20120513 53 16.587 0.017 15.137 0.012 14.767 0.011 14.247 0.020 15.132 0.019
20120516 56 16.598 0.011 15.149 0.015 14.796 0.032 14.230 0.022 15.168 0.013
20120518 58 16.619 0.014 15.219 0.014 14.886 0.015 14.308 0.008 15.288 0.012
20120522 62 16.640 0.049 15.252 0.016 14.927 0.013 no no no no
20120526 66 16.724 0.013 15.317 0.012 15.002 0.010 no no no no
20120527 67 16.665 0.030 15.321 0.014 14.974 0.011 14.437 0.010 15.361 0.023
20120528 68 16.802 0.065 15.397 0.028 15.049 0.017 14.508 0.019 15.427 0.011
20120529 69 16.713 0.057 15.367 0.016 15.037 0.011 14.506 0.010 15.410 0.009
20120603 74 16.751 0.130 15.502 0.089 15.239 0.142 no no no no
20120610 81 no no 15.710 0.131 15.417 0.130 no no no no
20120622 93 no no 15.975 0.160 no no no no no no
20120702 103 no no 15.900 0.034 15.611 0.013 15.172 0.085 no no
20120707 108 no no 15.989 0.011 15.647 0.017 15.155 0.081 no no
20120708 109 no no 16.036 0.011 15.729 0.029 15.228 0.032 16.090 0.053
20120710 111 no no no no 15.756 0.140 15.240 0.092 no no
20120724 125 no no no no 15.927 0.079 15.462 0.036 no no
20120727 128 no no no no 15.767 0.179 15.297 0.174 16.335 0.110
20120728 129 no no no no 15.942 0.009 no no no no
20120729 130 no no no no 15.989 0.022 15.447 0.037 16.347 0.046
20120730 131 no no 16.510 0.153 16.026 0.096 15.489 0.047 16.452 0.020
20120731 132 no no 16.197 0.179 15.870 0.181 15.450 0.022 no no
20120802 134 no no 16.352 0.233 15.992 0.043 15.528 0.022 16.307 0.048
20120804 136 no no 16.143 0.383 15.903 0.026 no no 16.381 0.214
20120810 142 no no 16.140 0.341 16.028 0.028 15.587 0.018 16.684 0.011
20120816 148 no no no no no no 15.632 0.026 no no
20120817 149 no no 16.498 0.269 no no no no no no
