## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2012bz 	 0.28 	 0.037 	 1383.8 	 56029.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
4.712 	 4.97898410738e+42 	 42.69714074 	 0.0963846412696
8.709 	 7.0733044162e+42 	 42.8496223494 	 0.189209123825
11.719 	 8.43292829343e+42 	 42.9259784075 	 0.280344186992
13.684 	 8.99235524258e+42 	 42.9538734553 	 0.340049958988
25.707 	 6.94218394271e+42 	 42.8414961167 	 0.463308291505
27.707 	 7.0860774875e+42 	 42.8504058971 	 0.503535816886
30.683 	 6.02662189094e+42 	 42.7800739448 	 0.464296055662
#t_peak = 13.684
#L_peak = 8.99235524258e+42
#M_ni = 0.340049958988
