## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2013cq 	 0.34 	 0.07 	 1729.816 	 56409.3 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
6.72199999999 	 3.12313361305e+43 	 43.4945905645 	 0.71470281757
9.723 	 1.95330835546e+43 	 43.2907708078 	 0.563683328295
11.645 	 1.6688927894e+43 	 43.2224284383 	 0.552008250448
13.648 	 1.42668410091e+43 	 43.1543278215 	 0.538285935146
14.648 	 1.32933608034e+43 	 43.1236347924 	 0.533435695697
16.644 	 1.16684838629e+43 	 43.0670144299 	 0.525209003989
17.748 	 1.12192362072e+43 	 43.0499632917 	 0.535619174632
18.72 	 1.08609095884e+43 	 43.0358661984 	 0.544646999208
23.674 	 1.37183029821e+43 	 43.1373003904 	 0.85211857569
28.657 	 8.117639762e+42 	 42.9094297746 	 0.592818367114
30.643 	 6.19344153616e+42 	 42.7919320424 	 0.476672471268
31.647 	 6.92772077537e+42 	 42.8405903749 	 0.546332493772
32.637 	 1.31004427786e+43 	 43.1172859745 	 1.05686577712
34.649 	 6.00712055051e+42 	 42.7786663474 	 0.505703850678
35.649 	 6.44796612463e+42 	 42.8094227472 	 0.553538385757
37.649 	 5.71923504309e+42 	 42.7573379451 	 0.509147787096
38.655 	 5.79108445134e+42 	 42.7627598983 	 0.524397269147
39.649 	 4.7383764445e+42 	 42.6756295607 	 0.436032977209
40.639 	 3.1562822168e+42 	 42.4991758284 	 0.294944518477
44.639 	 4.07652985911e+42 	 42.6102906277 	 0.403081535559
47.626 	 3.76476481581e+42 	 42.5757378511 	 0.386526950004
49.649 	 3.6672486069e+42 	 42.5643403523 	 0.385595310207
50.671 	 9.17581684041e+42 	 42.962644736 	 0.976078326501
51.67 	 6.54161847313e+42 	 42.8156852112 	 0.703652364286
#t_peak = 11.645
#L_peak = 1.6688927894e+43
#M_ni = 0.552008250448
