## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2013cu 	 0.026 	 0.011 	 111.17 	 56414.93 
###############W1U#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
1.695 	 2.84890039702e+42 	 42.4546772657 	 0.0422181352733
3.504 	 4.16006885026e+42 	 42.6191005184 	 0.0725193622924
6.7 	 3.32039271007e+42 	 42.5211894517 	 0.0758491533312
7.936 	 2.89946793752e+42 	 42.4623183107 	 0.0730745550695
9.666 	 2.11559470629e+42 	 42.3254324716 	 0.0607960446287
11.836 	 1.61380112814e+42 	 42.2078500147 	 0.0540781950053
14.696 	 9.3637497867e+41 	 41.9714498002 	 0.0376835455831
18.852 	 4.47753826305e+41 	 41.6510393058 	 0.0225998634575
21.48 	 2.92941808751e+41 	 41.4667813588 	 0.0166710835625
#t_peak = 11.836
#L_peak = 1.61380112814e+42
#M_ni = 0.0540781950053
