## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2013df 	 0.0024 	 0.097 	 21.37 	 56447.299 
###############W1UBVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
8.621 	 2.33119805867e+42 	 42.3675791728 	 0.0619421504062
8.771 	 2.24067635349e+42 	 42.3503791309 	 0.0602207060253
9.101 	 2.12928804064e+42 	 42.3282344148 	 0.0586712444035
10.631 	 1.64557739654e+42 	 42.2163183133 	 0.0507111464704
11.551 	 1.4242260398e+42 	 42.1535789219 	 0.0468055445939
11.631 	 1.49717835328e+42 	 42.1752735393 	 0.0494737110271
12.371 	 1.40987671343e+42 	 42.1491811375 	 0.0489740229409
12.621 	 1.46893584836e+42 	 42.1670028296 	 0.051876133388
12.791 	 1.41643085486e+42 	 42.1511953787 	 0.0505825249642
14.121 	 1.46741596482e+42 	 42.1665532397 	 0.0570223472228
16.021 	 1.43907414084e+42 	 42.1580831693 	 0.0625662741722
16.081 	 1.48971301819e+42 	 42.173102613 	 0.0649875349938
18.121 	 1.55121390538e+42 	 42.1906716892 	 0.0754896052926
18.391 	 1.58066742277e+42 	 42.1988405027 	 0.0779796374143
18.621 	 1.60192984314e+42 	 42.2046434921 	 0.0799404033177
19.621 	 1.58762817537e+42 	 42.2007487977 	 0.0831463074889
20.171 	 1.57384938531e+42 	 42.1969631688 	 0.0845513779474
20.621 	 1.63250887584e+42 	 42.2128555512 	 0.0894996132822
20.621 	 1.63250887584e+42 	 42.2128555512 	 0.0894996132822
21.621 	 1.6441668146e+42 	 42.2159458783 	 0.0941275348577
21.761 	 1.58703038724e+42 	 42.2005852424 	 0.0913914970918
22.621 	 1.6179012873e+42 	 42.2089520206 	 0.0964938122883
24.641 	 1.52706364279e+42 	 42.1838571373 	 0.0982531651411
25.621 	 1.44363100232e+42 	 42.1594562001 	 0.0960694111002
26.491 	 1.3341441795e+42 	 42.1252027658 	 0.0913359200228
26.621 	 1.3521080336e+42 	 42.1310113932 	 0.0929471866061
28.111 	 1.13378420274e+42 	 42.0545304016 	 0.0815233774207
29.621 	 1.02782627925e+42 	 42.0119197174 	 0.0770552568446
30.331 	 9.25609667469e+41 	 41.9664278819 	 0.0706812713942
30.621 	 9.03779398448e+41 	 41.9560624374 	 0.0695203397406
31.621 	 8.37112655771e+41 	 41.9227839078 	 0.0659757088653
31.961 	 8.02749005052e+41 	 41.904579776 	 0.0637726793736
32.621 	 7.65048386727e+41 	 41.8836889037 	 0.0616974943528
32.781 	 7.71528218308e+41 	 41.8873518148 	 0.0624419898956
33.621 	 7.09643969437e+41 	 41.8510405165 	 0.058488107643
33.961 	 6.76557159916e+41 	 41.8303044945 	 0.0561604385796
34.781 	 6.25846519763e+41 	 41.7964678415 	 0.0528255600094
36.451 	 5.3673454275e+41 	 41.7297595462 	 0.0467731388053
38.531 	 5.18830637136e+41 	 41.7150256134 	 0.0468848687678
39.841 	 4.93273304219e+41 	 41.6930876122 	 0.0455295566352
40.781 	 4.80812696248e+41 	 41.681975927 	 0.0450272943535
41.951 	 4.27037493889e+41 	 41.6304660078 	 0.0406890825844
44.581 	 4.2983180409e+41 	 41.6332985466 	 0.04246868896
46.131 	 4.12112613321e+41 	 41.615015907 	 0.0415390154563
48.141 	 3.94194496191e+41 	 41.5957105563 	 0.0407226411128
48.621 	 3.82450213124e+41 	 41.5825749073 	 0.0397347392499
48.881 	 3.83218551652e+41 	 41.5834465252 	 0.0399363126041
50.601 	 3.75705596899e+41 	 41.5748476648 	 0.039934227886
53.231 	 3.56565596063e+41 	 41.5521394371 	 0.039010832143
55.601 	 3.46286548886e+41 	 41.5394356222 	 0.0388437375746
56.601 	 3.32828998773e+41 	 41.5222211585 	 0.0377200145363
56.931 	 3.25644790257e+41 	 41.5127441346 	 0.0370301914899
#t_peak = 10.631
#L_peak = 1.64557739654e+42
#M_ni = 0.0507111464704
