## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN2013ge 	 0.0044 	 0.067 	 23.66 	 56602.6 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
15.9 	 9.14813541587e+41 	 41.9613325847 	 0.0395013224237
16.9 	 1.0018311632e+42 	 42.0007945368 	 0.0457266069486
17.9 	 9.96653097036e+41 	 41.9985440206 	 0.0479565169749
18.9 	 9.1144159749e+41 	 41.9597288456 	 0.0461121189311
19.9 	 9.37659052613e+41 	 41.9720449509 	 0.0497499347818
21.9 	 9.05118251808e+41 	 41.9567053226 	 0.0524248938735
22.9 	 8.86673524014e+41 	 41.9477637407 	 0.0534678647738
28.9 	 6.51965114762e+41 	 41.8142243582 	 0.0479344526499
30.8 	 5.99228074998e+41 	 41.7775921527 	 0.046299272269
30.9 	 5.96015149498e+41 	 41.7752572988 	 0.0461647466431
31.8 	 5.90273039777e+41 	 41.7710529476 	 0.0467175496324
34.9 	 5.42863377134e+41 	 41.7346905441 	 0.0459297006276
35.9 	 4.73718468208e+41 	 41.6755203163 	 0.040861203409
37.7 	 4.5575338744e+41 	 41.6587299053 	 0.0406086849795
37.9 	 4.6367394146e+41 	 41.6662126892 	 0.0414567652457
#t_peak = 16.9
#L_peak = 1.0018311632e+42
#M_ni = 0.0457266069486
