2015/11/09.18 2457335.68 3.17 99	99 99	99 17.49  0.01 99	99 99	99 EKAR
2015/11/17.18 2457343.68 11.18 16.65  0.01 99	99 15.37  0.01 15.67  0.01 15.88  0.02 EKAR
2015/12/03.16 2457360.64 28.14 99	99 99	99 14.60  0.02 14.67  0.02 99	99 EKAR
2015/12/10.08 2457366.56 34.06 17.18  0.01 15.42  0.01 14.71  0.01 14.77  0.01 15.01  0.01 EKAR
2015/12/17.21 2457374.69 42.20 18.13  0.02 15.87  0.01 14.97  0.01 14.95  0.01 15.07  0.01 EKAR
2016/01/18.91 2457406.53 74.03 99	99 16.78  0.01 16.06  0.01 15.88  0.01 15.73  0.01 EKAR
2016/01/19.93 2457407.43 74.93 18.60  0.06 16.77  0.01 16.04  0.01 15.87  0.01 99	99 EKAR
2016/02/04.05 2457423.52 91.02 18.54  0.04 16.91  0.01 16.29  0.01 16.17  0.01 15.91  0.01 EKAR
2016/02/11.07 2457429.58 97.08 18.75  0.03 16.96  0.01 16.39  0.01 16.29  0.01 16.00  0.01 EKAR
2016/03/17.92 2457465.39 132.89 18.80  0.02 17.42  0.01 16.85  0.01 16.88  0.01 99	99 EKAR
2016/04/27.90 2457506.42 173.93 99	99 17.98  0.02 17.35  0.01 17.64  0.01 99	99 EKAR
2016/05/17.94 2457526.40 193.90 99	99 18.28  0.03 17.64  0.02 18.07  0.03 17.79  0.02 EKAR
2016/06/23.92 2457563.39 230.89 99	99 18.42  0.01 18.13  0.01 18.94  0.09 18.58  0.01 EKAR
2016/11/30.09 2457722.58 390.08 99	99 19.60  0.03 19.79  0.06 20.70  0.01 20.53  0.01 EKAR
2017/03/28.96 2457841.44 508.94 99	99 99	99 20.97  0.12 21.68  0.08 99	99 EKAR
