MJD     G'    G'_err R   R_err Ic   Ic_err
57542.7 14.27 0.08 13.73 0.02 13.99 0.04
57543.7 14.17 0.08 13.64 0.02 13.89 0.04
57547.7 13.97 0.08 13.44 0.02 13.64 0.04
57554.7 14.17 0.08 13.37 0.02 13.54 0.04
57555.7 14.23 0.08 13.39 0.02 13.53 0.04
57556.7 14.29 0.08 13.41 0.02 13.54 0.04
57558.7 14.44 0.08 13.46 0.02 13.57 0.04
57561.7 14.70 0.08 13.56 0.02 13.63 0.04
57562.7 14.78 0.08 13.60 0.02 13.64 0.04
57563.7 14.85 0.08 13.64 0.02 13.67 0.04
57564.7 14.94 0.08 13.68 0.02 13.70 0.04
57565.7 15.04 0.08 13.73 0.02 13.74 0.04
57568.7 15.28 0.08 13.85 0.02 13.82 0.04
57569.7 15.36 0.08 13.88 0.02 13.82 0.04
57570.7 15.41 0.08 13.93 0.02 13.86 0.04
57571.6 15.49 0.08 13.99 0.02 13.90 0.04
57572.7 15.53 0.08 14.03 0.02 13.94 0.04
57579.6 15.83 0.08 14.31 0.02 14.10 0.04
57582.6 15.83 0.08 14.42 0.02 14.17 0.04
57583.7 15.89 0.08 14.42 0.02 14.16 0.04
57584.6 15.87 0.08 14.47 0.02 14.21 0.04
57585.6 15.90 0.08 14.52 0.02 14.23 0.04
57590.6 15.95 0.08 14.66 0.02 14.33 0.04
57591.6 16.00 0.08 14.70 0.02 14.35 0.04
57592.6 16.06 0.08 14.75 0.02 14.39 0.04
57591.6 16.00 0.08 14.70 0.02 14.35 0.04
57592.6 16.07 0.08 14.75 0.02 14.39 0.04
57599.6 16.25 0.09 14.90 0.03 14.48 0.03
