#MJD	B	Berr
57539.76	15.25	0.046
57541.77	15.00	0.040
57542.67	14.88	0.040
57548.75	14.68	0.040
57549.68	14.70	0.040
57552.62	14.83	0.040
57553.65	14.90	0.044
57556.67	15.12	0.040
57562.63	15.65	0.040
57564.68	15.85	0.044
57565.67	15.90	0.041
57571.74	16.27	0.041
57573.59	16.32	0.040
57575.58	16.40	0.040
57583.66	16.63	0.042
57541.7	14.87	0.08
57542.7	14.80	0.08
57544.7	14.62	0.08
57549.7	14.61	0.08
57550.8	14.59	0.08
57556.6	14.95	0.08
57542.6	14.8573	0.0856004
57543.7	14.857	0.0892705
57546.7	14.7135	0.0889607
57550.6	14.7761	0.0951077
57553.7	14.9132	0.0855939
57554.7	aa	aa
57560.7	15.508	0.0900921
57566.6	15.9562	0.0841697
57567.7	16.0396	0.0845933
57568.6	16.1153	0.0855098
57569.7	16.1693	0.0846604
57570.7	16.199	0.0888921
57574.7	16.3065	0.0894587
57575.7	16.437	0.0840803
57580.6	16.542	0.0848475
57581.6	16.5883	0.0836067
57584.6	16.6165	0.0850225
57589.7	aa	aa
57591.6	16.7342	0.0888342
57593.6	16.7779	0.0844228
57594.6	16.7879	0.0858933
57542.7	99	99
57543.7	99	99
57547.7	99	99
57554.7	99	99
57555.7	99	99
57556.7	99	99
57558.7	99	99
57561.7	99	99
57562.7	99	99
57563.7	99	99
57564.7	99	99
57565.7	99	99
57568.7	99	99
57569.7	99	99
57570.7	99	99
57571.6	99	99
57572.7	99	99
57579.6	99	99
57582.6	99	99
57583.7	99	99
57584.6	99	99
57585.6	99	99
57590.6	99	99
57591.6	99	99
57592.6	99	99
57591.6	99	99
57592.6	99	99
57599.6	99	99
