Telescope	&	date	&	filter	&	t-t_0 (d)	&		mag				&	Telescope	&	date	&	filter	&	t-t_0(d)	&		mag				&	Telescope	&	date	&	filter	&	t-t_0 (d)	&		mag				&	Telescope	&	date	&	filter	&	t-t_0 (d)	&		mag		
GROND		20-Dec		g		0.285			18.02		0.02			
GROND		30-Dec		r		10.306			19.63		0.02			
GTC		09-Jan		i		21.282			19.72		0.03			
GROND		18-Feb		z		60.340			20.58		0.03		
GROND		20-Dec		g		0.300			18.15		0.02			
GROND		31-Dec		r		11.338			19.65		0.02			
GROND		11-Jan		i		22.286			19.70		0.03			
NOT		27-Feb		z		70.115			20.56		0.06		
GROND		20-Dec		g		0.311			18.16		0.02		
NOT		31-Dec		r		12.259			19.64		0.05			
GROND		14-Jan		i		25.378			19.82		0.05			
GTC		28-Feb		z		71.147			20.51		0.05		
GROND		21-Dec		g		1.557			19.27		0.03			
GROND		01-Jan		r		12.291			19.65		0.02			
NOT		16-Jan		i		28.167			19.90		0.02			
#PS1		-		z		-			20.70		0.09		
GROND		22-Dec		g		2.561			19.43		0.02			
NOT		01-Jan		r		13.213			19.67		0.02			
NOT		18-Jan		i		30.204			19.92		0.03			
GROND		20-Dec		J		0.283			16.77		0.03		
GROND		24-Dec		g		4.504			19.52		0.02			
GTC		01-Jan		r		13.278			19.74		0.03			
GROND		20-Jan		i		31.500			20.03		0.02			
GROND		20-Dec		J		0.298			16.82		0.03		
GROND		25-Dec		g		5.501			19.59		0.03			
GROND		02-Jan		r		13.345			19.69		0.02			
NOT		22-Jan		i		34.166			20.13		0.02			
GROND		20-Dec		J		0.308			16.90		0.03		
GROND		26-Dec		g		6.488			19.76		0.03			
GROND		03-Jan		r		14.358			19.69		0.02			
GTC		22-Jan		i		34.232			20.09		0.03			
GROND		21-Dec		J		1.554			17.86		0.03		
GTC		26-Dec		g		7.263			19.88		0.03			
NOT		03-Jan		r		15.299			19.66		0.03			
NOT		23-Jan		i		35.196			20.15		0.03			
GROND		22-Dec		J		2.559			18.24		0.05		
NOT		27-Dec		g		8.245			19.89		0.02			
GROND		04-Jan		r		15.370			19.70		0.02			
NOT		25-Jan		i		37.189			20.18		0.03			
GROND		24-Dec		J		4.502			18.71		0.06		
NOT		28-Dec		g		9.251			19.85		0.06			
GROND		07-Jan		r		18.385			19.75		0.02			
GROND		26-Jan		i		37.368			20.21		0.03			
GROND		25-Dec		J		5.498			18.73		0.05		
GROND		29-Dec		g		9.296			19.86		0.03			
GROND		09-Jan		r		20.336			19.83		0.02			
GTC		26-Jan		i		38.215			20.15		0.02			
GROND		26-Dec		J		6.487			18.57		0.09		
GROND		30-Dec		g		10.306			19.88		0.02			
GTC		09-Jan		r		21.280			19.82		0.03			
NOT		28-Jan		i		40.165			20.19		0.02			
GROND		29-Dec		J		9.296			18.96		0.09		
GROND		31-Dec		g		11.338			19.96		0.04			
GROND		11-Jan		r		22.286			19.95		0.02			
GROND		31-Jan		i		42.345			20.25		0.03			
GROND		30-Dec		J		10.306			18.86		0.07		
NOT		31-Dec		g		12.253			20.04		0.04			
GROND		14-Jan		r		25.378			20.08		0.02			
GROND		05-Feb		i		47.389			20.33		0.03			
GROND		01-Jan		J		12.291			18.69		0.25		
GROND		01-Jan		g		12.291			19.92		0.03			
NOT		16-Jan		r		28.159			20.15		0.02			
GTC		08-Feb		i		51.186			20.49		0.03			
GROND		02-Jan		J		13.345			18.80		0.26		
NOT		01-Jan		g		13.208			20.12		0.02			
NOT		18-Jan		r		30.196			20.18		0.02			
GROND		18-Feb		i		60.340			20.49		0.02			
GROND		03-Jan		J		14.358			18.82		0.29		
GTC		01-Jan		g		13.276			20.12		0.03			
GROND		20-Jan		r		31.500			20.27		0.02			
NOT		27-Feb		i		70.101			20.55		0.03			
GROND		07-Jan		J		18.385			18.91		0.09		
GROND		02-Jan		g		13.345			19.99		0.03			
NOT		22-Jan		r		34.156			20.35		0.02			
GTC		28-Feb		i		71.145			20.45		0.03			
GROND		09-Jan		J		20.336			19.06		0.10		
GROND		03-Jan		g		14.358			20.24		0.03			
GTC		22-Jan		r		34.230			20.33		0.02			
#PS1		-		i		-			21.08		0.06			
NOT		09-Jan		J		21.220			18.75		0.18		
NOT		03-Jan		g		15.291			20.22		0.02			
NOT		23-Jan		r		35.210			20.39		0.02			
GROND		20-Dec		z		0.285			17.86		0.03			
GROND		11-Jan		J		22.285			18.76		0.28		
GROND		04-Jan		g		15.370			20.20		0.03			
NOT		25-Jan		r		37.181			20.44		0.02			
GROND		20-Dec		z		0.300			17.90		0.03			
GROND		14-Jan		J		25.375			19.03		0.08		
GROND		07-Jan		g		18.385			20.55		0.03			
GROND		26-Jan		r		37.368			20.43		0.03			
GROND		20-Dec		z		0.311			17.90		0.02			
GROND		20-Jan		J		31.498			18.99		0.09		
GROND		09-Jan		g		20.336			20.67		0.04			
GTC		26-Jan		r		38.213			20.50		0.04			
GROND		21-Dec		z		1.557			19.01		0.03			
GROND		26-Jan		J		37.365			19.02		0.18		
GTC		09-Jan		g		21.278			20.58		0.04			
NOT		28-Jan		r		40.157			20.46		0.02			
GROND		22-Dec		z		2.561			19.23		0.03			
GROND		31-Jan		J		42.342			19.19		0.09		
GROND		11-Jan		g		22.286			20.77		0.05			
GROND		31-Jan		r		42.345			20.63		0.02			
GROND		24-Dec		z		4.505			19.51		0.02			
GROND		05-Feb		J		47.386			19.46		0.10		
GROND		14-Jan		g		25.378			20.90		0.05			
GROND		05-Feb		r		47.389			20.61		0.02			
GROND		25-Dec		z		5.501			19.59		0.02			
GTC		08-Feb		J		51.202			19.51		0.07		
NOT		16-Jan		g		28.151			20.88		0.02			
GTC		08-Feb		r		51.184			20.73		0.05			
GROND		26-Dec		z		6.488			19.65		0.04			
GROND		18-Feb		J		60.337			19.40		0.27		
NOT		18-Jan		g		30.188			20.96		0.03			
GROND		18-Feb		r		60.340			20.78		0.02			
GTC		26-Dec		z		7.276			19.69		0.02			
GROND		20-Dec		H		0.282			16.13		0.03		
GROND		20-Jan		g		31.500			21.22		0.03			
NOT		27-Feb		r		70.090			20.83		0.02			
NOT		27-Dec		z		8.271			19.70		0.04			
GROND		20-Dec		H		0.298			16.20		0.04		
NOT		22-Jan		g		34.145			21.02		0.03			
GTC		28-Feb		r		71.143			20.84		0.04			
NOT		28-Dec		z		9.280			19.70		0.09			
GROND		20-Dec		H		0.309			16.14		0.03		
GTC		22-Jan		g		34.229			21.05		0.03			
#PS1		-		r		-			21.08		0.05			
GROND		29-Dec		z		9.296			19.61		0.03			
GROND		21-Dec		H		1.554			17.15		0.04		
NOT		23-Jan		g		35.216			21.10		0.02			
GROND		20-Dec		i		0.285			17.94		0.03			
GROND		30-Dec		z		10.306			19.62		0.04			
GROND		22-Dec		H		2.559			17.58		0.06		
NOT		25-Jan		g		37.173			21.05		0.03			
GROND		20-Dec		i		0.300			17.97		0.02			
GROND		31-Dec		z		11.338			19.70		0.03			
GROND		24-Dec		H		4.502			18.07		0.07		
GROND		26-Jan		g		37.368			21.24		0.03			
GROND		20-Dec		i		0.311			17.99		0.01			
GROND		01-Jan		z		12.291			19.73		0.03			
GROND		25-Dec		H		5.498			18.18		0.08		
GTC		26-Jan		g		38.209			21.13		0.02			
GROND		21-Dec		i		1.557			19.07		0.02			
GTC		01-Jan		z		13.281			19.76		0.03			
GROND		26-Dec		H		6.487			18.06		0.12		
NOT		28-Jan		g		40.149			21.16		0.03			
GROND		22-Dec		i		2.561			19.37		0.02			
GROND		02-Jan		z		13.345			19.80		0.03			
GROND		29-Dec		H		9.296			18.49		0.14		
GROND		31-Jan		g		42.345			21.22		0.04			
GROND		24-Dec		i		4.504			19.69		0.02			
GROND		03-Jan		z		14.358			19.77		0.03			
GROND		01-Jan		H		12.291			18.40		0.11		
GROND		05-Feb		g		47.389			21.45		0.04			
GROND		25-Dec		i		5.501			19.76		0.02			
NOT		03-Jan		z		15.325			19.76		0.03			
GROND		02-Jan		H		13.345			18.27		0.10		
GTC		08-Feb		g		51.183			21.23		0.07			
GROND		26-Dec		i		6.488			19.74		0.03			
GROND		04-Jan		z		15.370			19.79		0.04			
GROND		03-Jan		H		14.358			18.34		0.14		
GROND		18-Feb		g		60.340			21.39		0.04			
GTC		26-Dec		i		7.273			19.81		0.02			
GROND		07-Jan		z		18.385			19.77		0.03			
GROND		09-Jan		H		20.336			18.32		0.09		
NOT		27-Feb		g		70.078			21.45		0.03			
NOT		27-Dec		i		8.261			19.75		0.02			
GROND		09-Jan		z		20.336			19.75		0.03			
NOT		09-Jan		H		21.245			18.45		0.16		
GTC		28-Feb		g		71.135			21.26		0.04			
NOT		28-Dec		i		9.270			19.59		0.03			
GTC		09-Jan		z		21.284			19.93		0.04			
GROND		11-Jan		H		22.285			18.12		0.09		
#PS1		-		g		-			21.69		0.07			
GROND		29-Dec		i		9.296			19.69		0.02			
GROND		11-Jan		z		22.286			19.79		0.04			
GROND		14-Jan		H		25.375			18.74		0.12		
GROND		20-Dec		r		0.286			18.07		0.01			
GROND		30-Dec		i		10.306			19.65		0.02			
GROND		14-Jan		z		25.378			19.87		0.03			
GROND		20-Jan		H		31.498			18.78		0.13		
GROND		20-Dec		r		0.300			18.10		0.01			
GROND		31-Dec		i		11.338			19.64		0.03			
NOT		16-Jan		z		28.177			20.03		0.04			
GROND		31-Jan		H		42.342			18.83		0.16		
GROND		20-Dec		r		0.311			18.12		0.01			
NOT		31-Dec		i		12.264			19.56		0.12			
NOT		18-Jan		z		30.214			20.02		0.04			
GROND		05-Feb		H		47.386			18.91		0.13		
GROND		21-Dec		r		1.556			19.25		0.02			
GROND		01-Jan		i		12.291			19.67		0.02			
GROND		20-Jan		z		31.500			20.15		0.03			
GTC		08-Feb		H		51.206			19.11		0.05		
GROND		22-Dec		r		2.561			19.57		0.01			
NOT		01-Jan		i		13.217			19.68		0.03			
NOT		22-Jan		z		34.179			20.11		0.04			
GROND		18-Feb		H		60.337			18.59		0.25		
GROND		24-Dec		r		4.505			19.75		0.02			
GTC		01-Jan		i		13.279			19.70		0.03			
GTC		22-Jan		z		34.234			20.12		0.03			
GROND		20-Dec		K		0.283			15.84		0.05		
GROND		25-Dec		r		5.501			19.74		0.02			
GROND		02-Jan		i		13.345			19.63		0.02			
NOT		25-Jan		z		37.199			20.19		0.04			
GROND		20-Dec		K		0.296			15.70		0.04		
GROND		26-Dec		r		6.487			19.71		0.03			
GROND		03-Jan		i		14.358			19.61		0.02			
GROND		26-Jan		z		37.368			20.19		0.04			
GROND		20-Dec		K		0.308			15.72		0.05		
GTC		26-Dec		r		7.270			19.78		0.03			
NOT		03-Jan		i		15.307			19.71		0.02			
GTC		26-Jan		z		38.217			20.16		0.03			
GROND		21-Dec		K		1.554			16.60		0.09		
NOT		27-Dec		r		8.253			19.69		0.02			
GROND		04-Jan		i		15.370			19.65		0.02			
NOT		28-Jan		z		40.175			20.41		0.08			
GROND		22-Dec		K		2.557			17.09		0.12		
NOT		28-Dec		r		9.259			19.64		0.03			
GROND		07-Jan		i		18.385			19.63		0.02			
GROND		05-Feb		z		47.389			20.29		0.03			
GROND		25-Dec		K		5.498			17.83		0.06		
GROND		29-Dec		r		9.296			19.68		0.02			
GROND		09-Jan		i		20.336			19.63		0.02			
GTC		08-Feb		z		51.188			20.42		0.04		
GTC		08-Feb		K		51.210			18.66		0.05		
\hline													
\end{tabular}
%\medskip
\begin{flushleft}
NB: Photometry in griz is AB, while JHK are Vega.  All photometry is of the AG+SN+host, and are uncorrected for extinction.
t_0 = 2457742.284 in Julian date.
