## SN 	 z 	 MW_E_B_V 	 host E_B_V d [Mpc] 	 t_0 
## SN6p5Ax1 	 0.0 	 0.0 	  0.0 	 1e-05 	 0.0
###############BVRIJH#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
2.66 	 7.482144105417149e+40 	 40.874026068415084 	 0.0012365320117324423
2.93 	 7.649954158662116e+40 	 40.88365883270921 	 0.0012956210164088008
3.22 	 8.072869087580056e+40 	 40.90702790987192 	 0.0014034829628215059
3.54 	 8.461019260166754e+40 	 40.927422683653965 	 0.00151375006629566
3.89 	 8.722327954717978e+40 	 40.94063241187727 	 0.0016098374734197561
4.28 	 8.86563948380575e+40 	 40.94771006698394 	 0.001693539604940156
4.71 	 8.692661108264634e+40 	 40.939152748568056 	 0.001724037350876607
5.18 	 8.936691799275188e+40 	 40.951176780628884 	 0.001845871730239232
5.7 	 9.59722911703055e+40 	 40.98214586294739 	 0.0020722121161989445
6.27 	 1.0563717000269933e+41 	 41.023816758033995 	 0.0023928782565145624
6.9 	 1.1844481067455513e+41 	 41.073516038087284 	 0.002826515946404832
7.59 	 1.3494431364490373e+41 	 41.13015458874677 	 0.0034057511463657674
8.35 	 1.5600534029672863e+41 	 41.19313946516026 	 0.004182263503920434
9.19 	 1.8264569687887797e+41 	 41.261609444717806 	 0.0052255426975246055
10.11 	 2.1538872946218163e+41 	 41.333222974447374 	 0.006603757216218162
11.12 	 2.5455468634667683e+41 	 41.405781096799664 	 0.008399061418128422
12.23 	 3.0098274412045024e+41 	 41.47854159742743 	 0.01073165365230482
13.45 	 3.535984128120178e+41 	 41.548510306939086 	 0.013676393935260675
14.8 	 4.126830768894561e+41 	 41.615616659901846 	 0.0173823438773377
16.28 	 4.762108379788362e+41 	 41.67779927519495 	 0.02189662243427307
17.91 	 5.460970800597122e+41 	 41.7372698544016 	 0.027464909690877795
19.7 	 6.187930308687676e+41 	 41.79154541383101 	 0.03405985682344504
21.67 	 6.967006952133809e+41 	 41.84304624390214 	 0.04195021004495636
23.84 	 7.79569993306191e+41 	 41.891855114190655 	 0.05126030674333325
26.22 	 8.667504705070322e+41 	 41.937894086081016 	 0.06202648450091488
28.84 	 9.576196897244399e+41 	 41.98119306706707 	 0.07426840477457054
31.72 	 1.04767464507051e+42 	 42.02022643361281 	 0.08760681713845549
34.89 	 1.1296145073794054e+42 	 42.05293026128773 	 0.10130070159269634
38.38 	 1.1748539458843176e+42 	 42.069983879851094 	 0.11240724211882262
42.22 	 1.2029346222133213e+42 	 42.080242024693504 	 0.12224576048150432
46.44 	 1.1848131542835108e+42 	 42.07364986725609 	 0.12745440585726783
51.08 	 1.1213579117718105e+42 	 42.04974425157674 	 0.12745141385959613
56.19 	 1.0129325661037604e+42 	 42.0055805340633 	 0.12161454998959594
61.81 	 8.814170961434587e+41 	 41.94518146991881 	 0.11193138494628332
67.99 	 7.606105320289698e+41 	 41.88116233471006 	 0.10244512631382598
74.79 	 6.6707000437577326e+41 	 41.82417141250543 	 0.09568271248130585
82.27 	 6.0104322591007784e+41 	 41.778905706776705 	 0.09229155545012682
90.5 	 5.623244093099823e+41 	 41.74998693572094 	 0.0930126207560594
99.6 	 5.196071031349291e+41 	 41.71567507933559 	 0.09328393427810189
109.6 	 4.772622624085216e+41 	 41.67875709563656 	 0.09373893820380451
#t_peak = 42.22
#L_peak = 1.2029346222133213e+42
#M_ni = 0.12224576048150432
