#IIb Peak	Khatami Tail
SN1993J 0.10597274941793246 0.0822184186938 0.04600223492709671
SN2004ex 0.07700118580767927 0.0602391840965 0.04872362549144994
SN2004ff 0.08428985650420828 0.0691153357545 nan
SN2006ba 0.08148839155973321 0.0635457708865 nan
SN2006T 0.10778821413227324 0.0828590515006 0.04652864351059969
SN2008aq 0.03662530528427629 0.0285855224734 0.019321533032704223
SN2008ax 0.08820592350543703 0.0683601744528 0.03931432013840693
SN2009K 0.14690519648172984 0.111457319403 nan
SN2010as 0.15478658513054216 0.124159706818 0.09326366986283754
SN2011fu 0.14471898513816914 0.111999094635 nan
SN2011dh 0.06184880613496325 0.0485297858151 0.03948226272703263
SN2011hs 0.04185963681852356 0.033702496946 nan
SN2013df 0.10187274928697096 0.0788299564265 0.05765292289908408
SN2017czd 0.021923052104020627 0.0186431988156 nan

