#IIb Peak	Khatami Tail
SN1993J 0.08572295835607842 0.066425667614 0.03728348050706762
SN2004ex 0.07700118580767927 0.0602391840965 0.04872362549144994
SN2004ff 0.08428985650420828 0.0691153357545 nan
SN2006ba 0.06625972140035533 0.0515318232445 nan
SN2006T 0.10778821413227324 0.0828590515006 0.04652864351059969
SN2008aq 0.03662530528427629 0.0285855224734 0.019321533032704223
SN2008ax 0.04920398859922299 0.0380426460395 0.022755176846416036
SN2009K 0.1282672386906266 0.0973166568244 nan
SN2010as 0.06711847033716169 0.0531628209115 0.04145045137542841
SN2011fu 0.13929371185471015 0.107800435452 nan
SN2011dh 0.057025885540575846 0.0446787075287 0.03555264437561272
SN2011hs 0.03008435139144344 0.0241746024407 nan
SN2013df 0.08586355431878329 0.0664419120221 0.049660780167573984
SN2017czd 0.025718217258411186 0.0213406771493 nan

