## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SNiPTF13bvn 	 0.0045 	 0.0715 	 23.88 	 56458.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
3.089 	 1.12546490021e+41 	 41.0513319552 	 0.00189125084563
3.28 	 1.09655353093e+41 	 41.0400298377 	 0.00187413188112
3.696 	 1.33155312855e+41 	 41.1243584993 	 0.0023606621191
4.089 	 1.56141295576e+41 	 41.1935177786 	 0.00286468952289
4.328 	 1.60609667477e+41 	 41.2057716829 	 0.00300825755594
5.065 	 2.07907283688e+41 	 41.3178697044 	 0.00414746375914
7.078 	 3.28382131702e+41 	 41.5163795178 	 0.0077332914225
7.22 	 3.3331945808e+41 	 41.5228606671 	 0.00793916790147
8.21 	 3.93607884893e+41 	 41.5950637898 	 0.0101334214358
9.078 	 4.48274508634e+41 	 41.6515440432 	 0.012330605669
11.078 	 5.23162076994e+41 	 41.7186362553 	 0.016638554071
11.3 	 5.46947557495e+41 	 41.7379456872 	 0.0176660879382
12.27 	 5.94600664239e+41 	 41.77422539 	 0.0205157963548
13.25 	 5.99225343522e+41 	 41.777590173 	 0.0220441574342
14.25 	 6.36830924406e+41 	 41.8040241445 	 0.0249437964611
15.21 	 6.65823877265e+41 	 41.8233593654 	 0.0276264602166
16.2 	 6.67073423538e+41 	 41.8241736385 	 0.029295754722
17.057 	 6.97397938703e+41 	 41.8434806594 	 0.0321019727124
18.057 	 7.10108094127e+41 	 41.851324463 	 0.0344447660579
18.2 	 6.73898603137e+41 	 41.8285945562 	 0.032927010161
19.2 	 7.09052536134e+41 	 41.8506784147 	 0.0363981655347
19.241 	 6.68520520456e+41 	 41.8251147426 	 0.0343851603615
21.2 	 6.29882706788e+41 	 41.7992596851 	 0.0354193936899
21.241 	 6.6760942532e+41 	 41.8245224594 	 0.03760716343
22.057 	 6.58778369269e+41 	 41.8187393308 	 0.0384047435855
22.2 	 6.37324098601e+41 	 41.8043603404 	 0.0373720238226
22.241 	 6.33726606644e+41 	 41.8019019411 	 0.0372231295007
23.203 	 5.98812045286e+41 	 41.7772905277 	 0.0365364715366
26.25 	 4.46315393922e+41 	 41.6496418664 	 0.030320295901
27.203 	 4.15672105418e+41 	 41.6187508812 	 0.0290942119325
28.2 	 3.56636040693e+41 	 41.5522252297 	 0.0257093054207
29.203 	 3.43046686352e+41 	 41.5353532286 	 0.0254316536693
30.216 	 3.08230172027e+41 	 41.4888751487 	 0.0234681459761
30.23 	 3.10131967139e+41 	 41.4915465338 	 0.0236213963852
34.22 	 2.20804535585e+41 	 41.3440079901 	 0.0184271266191
36.2 	 2.11536367815e+41 	 41.325385043 	 0.0183489638019
40.2 	 1.65882521445e+41 	 41.2198006281 	 0.0153971011774
41.216 	 1.68824317343e+41 	 41.2274350023 	 0.0159135770223
42.23 	 1.61604416689e+41 	 41.208453226 	 0.0154599272859
46.2 	 1.42204972896e+41 	 41.1529147839 	 0.0143460311536
48.19 	 1.41519792441e+41 	 41.1508171829 	 0.0146283742576
50.149 	 1.28419997753e+41 	 41.108632658 	 0.0135802521542
50.19 	 1.27820391903e+41 	 41.1066001448 	 0.0135231478107
52.147 	 1.30931812207e+41 	 41.1170451789 	 0.0141577125094
52.18 	 1.28602134323e+41 	 41.1092481763 	 0.013910820032
52.966 	 1.28162594179e+41 	 41.1077612895 	 0.0139820118614
54.163 	 1.23167903152e+41 	 41.0904975479 	 0.0136098311985
54.18 	 1.23702463591e+41 	 41.0923783489 	 0.013671354822
55.059 	 1.2603117361e+41 	 41.1004779805 	 0.014057819644
56.18 	 1.21125493477e+41 	 41.0832355594 	 0.0136682663902
58.18 	 1.10695340755e+41 	 41.0441293415 	 0.0127473585164
59.987 	 1.14017942222e+41 	 41.0569731987 	 0.013367900423
60.18 	 1.0856493631e+41 	 41.0356895819 	 0.0127527724026
60.427 	 1.16461954092e+41 	 41.0661840728 	 0.0137136443326
61.019 	 1.05214565062e+41 	 41.0220758642 	 0.0124612374351
62.18 	 1.02116887502e+41 	 41.0090975691 	 0.0122315929744
65.21 	 1.01293746794e+41 	 41.0055826357 	 0.0124902255859
66.046 	 1.03644895192e+41 	 41.0155479167 	 0.0128816872667
68.407 	 9.81418857242e+40 	 40.9918543984 	 0.0124712921694
70.18 	 8.52808434468e+40 	 40.930851487 	 0.0110174354805
70.394 	 9.10989425085e+40 	 40.9595133356 	 0.0117924749801
71.031 	 9.21731536504e+40 	 40.9646044469 	 0.0120021808353
72.014 	 9.66091498235e+40 	 40.9850182603 	 0.0126946583524
72.17 	 8.80907945313e+40 	 40.9449305271 	 0.0115920072347
73.19 	 8.57235863453e+40 	 40.933100332 	 0.011387041484
74.16 	 8.1043995453e+40 	 40.9087208435 	 0.0108618583297
76.16 	 8.67097440639e+40 	 40.9380679043 	 0.0118361482988
#t_peak = 18.057
#L_peak = 7.10108094127e+41
#M_ni = 0.0344447660579
