Table 1 
Optical Photometry of iPTF17cw


Date	Telescope	Band	Magnitude	
(MJD)			[AB]	
57760.291	P48	R	19.46 +or- 0.10	
57760.319	P48	R	19.557 +or- 0.072	
				
57768.305	P60	g	19.041 +or- 0.077	
57770.194	P60	g	19.235 +or- 0.034	
57771.149	P60	g	19.294 +or- 0.054	
57780.219	P60	g	20.54 +or- 0.17	
57783.277	P60	g	>20.6	
57787.103	P60	g	>17.6	
57789.186	P60	g	20.93 +or- 0.16	
57793.187	P60	g	>19.8	
				
57768.301	P60	r	18.703 +or- 0.038	
57770.191	P60	r	18.721 +or- 0.022	
57771.146	P60	r	18.793 +or- 0.032	
57783.273	P60	r	19.446 +or- 0.045	
57784.124	P60	r	>18.4	
57789.183	P60	r	19.998 +or- 0.084	
57793.184	P60	r	>18.3	
57794.123	P60	r	>19.4	
57797.444	P60	r	20.14 +or- 0.19	
57799.108	P60	r	20.63 +or- 0.17	
				
57768.303	P60	i	18.901 +or- 0.066	
57770.193	P60	i	18.872 +or- 0.040	
57771.147	P60	i	18.902 +or- 0.053	
57780.217	P60	i	19.142 +or- 0.060	
57783.275	P60	i	19.223 +or- 0.067	
57789.185	P60	i	19.692 +or- 0.062	
57793.185	P60	i	>19.0	
57794.125	P60	i	>18.1	
57797.446	P60	i	20.17 +or- 0.17	
57799.110	P60	i	>20.3	
