##### UBVRIJHK SNe##########
#SN1999dn	"NGC7714"	0.0093	 38.547	0.152	0.0093		51406.0 # t_0 from Benetti
SN2002ap	"bla"		0.0022	 7.94	0.079	0.0022		52302 # From Prentice 2016 compilation. t_0 = t_0_GRB 
#SN2003dh	"bla"		0.168	 695.	0.025	0.168		52727.5 # t_0 of GRB
SN2005hg	"UGC1394"	0.021	 86.297	0.0901	0.021		53665.755 #Discov:Oct. 25.27,non_detection:Oct. 12.25 (lim mag 20.0) and 20.24 (lim mag 19.5)
SN2005mf	"UGC4798"	0.027	 132.43	0.0153	0.027		53723.0 #Discov :Dec. 25.67,  Non detections : Oct. 31, Nov. 13,and Dec. 13. 		
#SN2006aj	"A032139+1652"	0.033	 132.4 	0.097   0.033		53784.14861 # From Mirabal 
#SN2007Y		"NGC1187"	0.0046	 18.11	0.112	0.0046		54145. 
SN2007gr	"NGC1058"	0.0017   9.289  0.085	0.0017	  	54325   
SN2007uy	"NGC2770"	0.0065	 31.33	0.652	0.0065		54462.33
#SN2008D		"NGC2770"	0.0065	 31.33	0.65	0.065   	54474.5 # From Mazzali
SN2008ax	"NGC4490"	0.0019 	 9.204 	0.3	0.0019		54528.3
SN2009iz	"bla"		0.014	 57.54	0.0729	0.014		55087.5 #Discov: Sept. 19.52 ,2455094.02, last non-det : 2455081.95, Sept. 7.45 UT, [18.2
SN2009jf	"NGC7479"	0.0079	 33.73   0.162	0.0079		55099.0 # t_0 from Valenti
#SN2011dh	"M51"		0.002	7.87 	0.085	0.002		55712.5 # t_0 From Ergon 2014-15
#SN2011bm	"IC3918"	0.022 	97.7	0.064	0.021778	55643.5	# t_0 from valenti
SN2011hs	"bla"		0.0057	24.1	0.171	0.0057		55871.5 # From Bufano 
